taxonomy_id,name,parent_id,parent_name
TA-5500.9500,Wax Museums,TA-5500,Museums
TA-5750,Music Performances,TA,Arts and Culture
TA-5750.0500,Band Concerts,TA-5750,Music Performances
TA-5750.0700,Big Band Music Concerts,TA-5750,Music Performances
TA-5750.0800,Blues Concerts,TA-5750,Music Performances
TA-5750.1000,Choral Music Performances,TA-5750,Music Performances
TA-5750.1200,Classical Concerts,TA-5750,Music Performances
TA-5750.1200-150,Chamber Music Performances,TA-5750.1200,Classical Concerts
TA-5750.1200-650,Orchestral Performances,TA-5750.1200,Classical Concerts
TA-5750.1800,Country Concerts,TA-5750,Music Performances
TA-5750.2000,Ethnic Music Concerts,TA-5750,Music Performances
TA-5750.2300,Folk Music Concerts,TA-5750,Music Performances
TA-5750.3500,Jazz Concerts,TA-5750,Music Performances
TA-5750.5000,Music Recitals,TA-5750,Music Performances
TA-5750.6000,New Age Music Concerts,TA-5750,Music Performances
TA-5750.6500,Patriotic/Military Music Concerts,TA-5750,Music Performances
TA-5750.7000,Rhythm and Blues Concerts,TA-5750,Music Performances
TA-5750.7500,Rock Concerts,TA-5750,Music Performances
TA-6500,Opera Performances,TA,Arts and Culture
TA-6800,Performing Arts Facilities,TA,Arts and Culture
TA-6800.1000,Band Shells,TA-6800,Performing Arts Facilities
TA-6800.1500,Concert Halls/Amphitheaters,TA-6800,Performing Arts Facilities
TA-6800.5000,Multipurpose Performing Arts Centers,TA-6800,Performing Arts Facilities
TA-6800.6000,Opera Halls,TA-6800,Performing Arts Facilities
TA-6800.6300,Playhouses,TA-6800,Performing Arts Facilities
TA-8500,Theater Performances,TA,Arts and Culture
TA-8500.1200,Children's Theater Productions,TA-8500,Theater Performances
TA-8500.1600,Dinner Theater,TA-8500,Theater Performances
TA-8500.1800,Ethnic Theater Productions,TA-8500,Theater Performances
TA-8500.2000,Forum Theater,TA-8500,Theater Performances
TA-8500.5000,Mime Productions,TA-8500,Theater Performances
TA-8500.5500,Musicals/Light Opera Productions,TA-8500,Theater Performances
TA-8500.5900,Pantomime Productions,TA-8500,Theater Performances
TA-8500.6000,Performance Art,TA-8500,Theater Performances
TA-8500.6500,Puppet Shows,TA-8500,Theater Performances
TA-8500.8000,Stage Productions,TA-8500,Theater Performances
TA-8500.9000,Variety Shows,TA-8500,Theater Performances
TA-9000,Visual Arts,TA,Arts and Culture
TA-9000.0300,Art Galleries/Exhibits,TA-9000,Visual Arts
TA-9000.0300-050,Architectural Exhibits,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-100,Ceramics Exhibits,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-130,Children's Art Exhibits,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-180,Folk/Ethnic Art Exhibits,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-240,General Art Galleries/Exhibits,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-250,Glass Art Exhibits,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-280,Graphic/Digital Art Exhibits,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-350,Jewelry Exhibits,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-500,Metal Art Exhibits,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-650,Painting/Drawing Exhibits,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-660,Paper Art Exhibits,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-680,Photography Exhibits,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-800,Sculpture Exhibits,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-830,Specialty Galleries/Exhibits,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-850,Stained Glass Exhibits,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-900,Textile/Fiber Art Exhibits,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-930,Traveling Exhibitions,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-950,Virtual Exhibitions,TA-9000.0300,Art Galleries/Exhibits
TA-9000.0300-960,Wood Art Exhibits,TA-9000.0300,Art Galleries/Exhibits
TA-9000.7100,Public Art Programs,TA-9000,Visual Arts
TB,Community Economic Development and Finance,T,Organizational/Community/International Services
TB-0700,Banking and Financial Services,TB,Community Economic Development and Finance
TB-0700.2050,Financial Institutions,TB-0700,Banking and Financial Services
TB-0700.2050-020,Accounting Firms,TB-0700.2050,Financial Institutions
TB-0700.2050-100,Banks/Savings and Loans,TB-0700.2050,Financial Institutions
TB-0700.2050-110,Bill Payment Locations,TB-0700.2050,Financial Institutions
TB-0700.2050-120,Brokerage Firms,TB-0700.2050,Financial Institutions
TB-0700.2050-150,Check Cashing Services,TB-0700.2050,Financial Institutions
TB-0700.2050-155,Collection/Repossession Agencies,TB-0700.2050,Financial Institutions
TB-0700.2050-165,Consumer Finance Companies,TB-0700.2050,Financial Institutions
TB-0700.2050-180,Credit Unions,TB-0700.2050,Financial Institutions
TB-0700.2050-250,Government Sponsored Enterprises,TB-0700.2050,Financial Institutions
TB-0700.2050-330,Insurance Companies,TB-0700.2050,Financial Institutions
TB-0700.2050-500,Mutual Fund Companies,TB-0700.2050,Financial Institutions
TB-0700.2100,Financial Services,TB-0700,Banking and Financial Services
TB-0700.2100-050,ATM Services,TB-0700.2100,Financial Services
TB-0700.2100-145,Checking/Savings Accounts,TB-0700.2100,Financial Services
TB-0700.2100-150,Credit Cards,TB-0700.2100,Financial Services
TB-0700.2100-175,Debit Cards,TB-0700.2100,Financial Services
TB-0700.2100-178,Disability Savings Accounts,TB-0700.2100,Financial Services
TB-0700.2100-180,Education Savings Accounts,TB-0700.2100,Financial Services
TB-0700.2100-190,Electronic Transfer Accounts,TB-0700.2100,Financial Services
TB-0700.2100-200,Foreign Currency Exchange,TB-0700.2100,Financial Services
TB-0700.2100-300,Health Savings Accounts,TB-0700.2100,Financial Services
TB-0700.2100-325,Home Equity Lines of Credit,TB-0700.2100,Financial Services
TB-0700.2100-330,Individual Development Accounts,TB-0700.2100,Financial Services
TB-0700.2100-450,Matricula Accounts,TB-0700.2100,Financial Services
TB-0700.2100-500,Money Orders,TB-0700.2100,Financial Services
TB-0700.2100-650,Personal Lines of Credit,TB-0700.2100,Financial Services
TB-0700.2100-725,,TB-0700.2100,Financial Services
TB-0700.2100-800,Savings Bonds,TB-0700.2100,Financial Services
TB-0700.2100-820,State College Tuition Plans,TB-0700.2100,Financial Services
TB-0700.2200,Funding,TB-0700,Banking and Financial Services
TB-0700.2200-150,Capital Support,TB-0700.2200,Funding
TB-0700.2200-150.10,Building Acquisition/Construction/Renovation Funds,TB-0700.2200-150,Capital Support
TB-0700.2200-150.20,Equipment Funds,TB-0700.2200-150,Capital Support
TB-0700.2200-150.45,Land Acquisition Funds,TB-0700.2200-150,Capital Support
TB-0700.2200-160,Debt Reduction Funds,TB-0700.2200,Funding
TB-0700.2200-170,Emergency Funds,TB-0700.2200,Funding
TB-0700.2200-180,Endowment Funds,TB-0700.2200,Funding
TB-0700.2200-185,For Profit Subsidiaries,TB-0700.2200,Funding
TB-0700.2200-185.60,Nonprofit Retail Stores,TB-0700.2200-185,For Profit Subsidiaries
TB-0700.2200-190,Fundraising Campaigns,TB-0700.2200,Funding
TB-0700.2200-200,Fundraising Product Wholesalers,TB-0700.2200,Funding
TB-0700.2200-250,General/Operating Funds,TB-0700.2200,Funding
TB-0700.2200-330,In Kind Contributions,TB-0700.2200,Funding
TB-0700.2200-335,Institutional Scholarship Funds,TB-0700.2200,Funding
TB-0700.2200-340,Instructional Support Funds,TB-0700.2200,Funding
TB-0700.2200-660,Program Development Funds,TB-0700.2200,Funding
TB-0700.2200-700,Research Funds,TB-0700.2200,Funding
TB-0700.2200-800,Seed Money,TB-0700.2200,Funding
TB-0700.2200-850,Technical Assistance Funds,TB-0700.2200,Funding
TB-0700.2200-950,Wage Subsidy Funds,TB-0700.2200,Funding
TB-0900,Business Development,TB,Community Economic Development and Finance
TB-0900.0600,Business Assistance Centers,TB-0900,Business Development
TB-0900.0650,Business Assistance Services,TB-0900,Business Development
TB-0900.0650-060,Business Consulting Services,TB-0900.0650,Business Assistance Services
TB-0900.0650-100,Business Incubators,TB-0900.0650,Business Assistance Services
TB-0900.0650-110,Business Licensing Assistance,TB-0900.0650,Business Assistance Services
TB-0900.0650-150,Customized Training for Employees,TB-0900.0650,Business Assistance Services
TB-0900.0650-200,Entrepreneurial Training,TB-0900.0650,Business Assistance Services
TB-0900.0650-230,Export/Trade Development,TB-0900.0650,Business Assistance Services
TB-0900.0650-250,Government Contract Procurement Assistance,TB-0900.0650,Business Assistance Services
TB-0900.0650-450,Labor Market Information,TB-0900.0650,Business Assistance Services
TB-0900.0650-500,Microenterprise Development/Support,TB-0900.0650,Business Assistance Services
TB-0900.1000,Business Financing,TB-0900,Business Development
TB-0900.1000-400,Microenterprise Financing,TB-0900.1000,Business Financing
TB-0900.1000-500,Minority Business Financing,TB-0900.1000,Business Financing
TB-0900.1000-600,Nonprofit Organization Financing,TB-0900.1000,Business Financing
TB-0900.1000-800,Small Business Financing,TB-0900.1000,Business Financing
TB-0900.1150,Business Recruitment and Attraction,TB-0900,Business Development
TB-0900.1150-150,Enterprise Zones,TB-0900.1150,Business Recruitment and Attraction
TB-0900.1150-200,Film Commissions,TB-0900.1150,Business Recruitment and Attraction
TB-0900.1150-300,Industrial Park Development,TB-0900.1150,Business Recruitment and Attraction
TB-0900.1150-800,Specialized Personnel Recruitment Programs,TB-0900.1150,Business Recruitment and Attraction
TB-0900.1200,Business Retention and Expansion,TB-0900,Business Development
TB-0900.8000,Specialized Business Development,TB-0900,Business Development
TB-0900.8000-330,International Business Development,TB-0900.8000,Specialized Business Development
TB-0900.8000-500,Minority Business Development,TB-0900.8000,Specialized Business Development
TB-0900.8000-600,Nonprofit Corporation Development,TB-0900.8000,Specialized Business Development
TB-0900.8000-800,Small Business Development,TB-0900.8000,Specialized Business Development
TB-1100,Business Support Organizations/Services,TB,Community Economic Development and Finance
TB-1100.1000,Bulk Mailing Services,TB-1100,Business Support Organizations/Services
TB-1100.1300,Copy Centers,TB-1100,Business Support Organizations/Services
TB-1100.1500,Courier Services,TB-1100,Business Support Organizations/Services
TB-1100.2500,Graphic/Digital Design Services,TB-1100,Business Support Organizations/Services
TB-1100.3000,Industrial Design Services,TB-1100,Business Support Organizations/Services
TB-1100.6300,Personal Concierge Services,TB-1100,Business Support Organizations/Services
TB-1100.6400,Post Offices,TB-1100,Business Support Organizations/Services
TB-1100.6500,Private Mail Services,TB-1100,Business Support Organizations/Services
TB-1100.8000,Shredding Services,TB-1100,Business Support Organizations/Services
TB-1100.8500,Telephone Call Center Services,TB-1100,Business Support Organizations/Services
TB-1100.8600,Temporary Help Agencies,TB-1100,Business Support Organizations/Services
TB-1100.9000,Video Conferencing Facilities,TB-1100,Business Support Organizations/Services
TB-1500,Community Development Corporations,TB,Community Economic Development and Finance
TB-1550,Community Development Financial Institutions,TB,Community Economic Development and Finance
TB-3000,Housing Development,TB,Community Economic Development and Finance
TB-3000.0400,Affordable Housing Development Incentives,TB-3000,Housing Development
TB-3000.1400,Community Housing Development Organizations,TB-3000,Housing Development
TB-3000.1500,Community Land Trusts,TB-3000,Housing Development
TB-3000.2000,Foreclosed Property Redevelopment Programs,TB-3000,Housing Development
TB-3000.3000,Housing Replacement Programs,TB-3000,Housing Development
TB-3000.7000,Rural Housing Development,TB-3000,Housing Development
TB-3000.9000,Urban Housing Development,TB-3000,Housing Development
TB-4500,Local Currency Systems,TB,Community Economic Development and Finance
TB-7000,Redevelopment Programs,TB,Community Economic Development and Finance
TB-7000.0300,Art District Development,TB-7000,Redevelopment Programs
TB-7000.0800,Brownfields Redevelopment,TB-7000,Redevelopment Programs
TB-7000.2000,Downtown Development,TB-7000,Redevelopment Programs
TB-7000.2000-500,Main Street Programs,TB-7000.2000,Downtown Development
TB-7000.6000,Neighborhood Revitalization,TB-7000,Redevelopment Programs
TB-7000.9000,Waterfront Development,TB-7000,Redevelopment Programs
TB-8200,Special Focus Community Economic Development,TB,Community Economic Development and Finance
TB-8200.7000,Regional Economic Development,TB-8200,Special Focus Community Economic Development
TB-8200.7500,Rural Economic Development,TB-8200,Special Focus Community Economic Development
TB-8500,Technology Transfer Programs,TB,Community Economic Development and Finance
TB-8700,Tourism Development,TB,Community Economic Development and Finance
TC,Community Facilities/Centers,T,Organizational/Community/International Services
TC-0500,Agency Facility Space,TC,Community Facilities/Centers
TC-1000,Banquet Facilities,TC,Community Facilities/Centers
TC-1400,Civic Centers,TC,Community Facilities/Centers
TC-1500,Conference/Convention Facilities,TC,Community Facilities/Centers
TC-1700,Drop In Centers,TC,Community Facilities/Centers
TC-3300,Interview Space,TC,Community Facilities/Centers
TC-4000,Lecture Halls/Auditoriums,TC,Community Facilities/Centers
TC-5000,Meeting Space,TC,Community Facilities/Centers
TC-5500,Multipurpose Centers,TC,Community Facilities/Centers
TC-5500.1800,Ethnic Oriented Multipurpose Centers,TC-5500,Multipurpose Centers
TC-5500.3300,,TC-5500,Multipurpose Centers
TC-5500.4000,LGBTQ Community Centers,TC-5500,Multipurpose Centers
TC-5500.6000,Neighborhood Multipurpose Centers,TC-5500,Multipurpose Centers
TC-5500.8000,Senior Centers,TC-5500,Multipurpose Centers
TC-5500.9500,Women's Centers,TC-5500,Multipurpose Centers
TC-5500.9800,Youth Centers,TC-5500,Multipurpose Centers
TC-6300,Office Space,TC,Community Facilities/Centers
TC-7000,Retreat Centers,TC,Community Facilities/Centers
TC-7500,Study Space,TC,Community Facilities/Centers
TC-9500,Workrooms,TC,Community Facilities/Centers
TD,Community Groups and Government/Administrative Offices,T,Organizational/Community/International Services
TD-0300,Administrative Entities,TD,Community Groups and Government/Administrative Offices
TD-0300.1200,City Government Departments/Offices,TD-0300,Administrative Entities
TD-0300.1300,County Government Departments/Offices,TD-0300,Administrative Entities
TD-0300.2000,Federal Government Agencies/Departments,TD-0300,Administrative Entities
TD-0300.6000,Nongovernmental Agency Departments,TD-0300,Administrative Entities
TD-0300.6400,,TD-0300,Administrative Entities
TD-0300.8000,State Government Agencies/Departments,TD-0300,Administrative Entities
TD-0350,Administrative/Support Services Offices,TD,Community Groups and Government/Administrative Offices
TD-0350.1000,Budget and Finance Offices,TD-0350,Administrative/Support Services Offices
TD-0350.1500,Clerical Management/Support Services Offices,TD-0350,Administrative/Support Services Offices
TD-0350.1600,Contracts/Procurement Offices,TD-0350,Administrative/Support Services Offices
TD-0350.2000,Facility Management Offices,TD-0350,Administrative/Support Services Offices
TD-0350.2200,Fleet Maintenance Offices,TD-0350,Administrative/Support Services Offices
TD-0350.3000,Human Resource Management Offices,TD-0350,Administrative/Support Services Offices
TD-0350.3300,Information Technology Management Offices,TD-0350,Administrative/Support Services Offices
TD-0350.4500,Legal Department Offices,TD-0350,Administrative/Support Services Offices
TD-0350.5000,Marketing Offices,TD-0350,Administrative/Support Services Offices
TD-0350.6300,Organizational Assessment and Evaluation Offices,TD-0350,Administrative/Support Services Offices
TD-0350.6350,Organizational Planning and Development Offices,TD-0350,Administrative/Support Services Offices
TD-0350.6800,Public Relations Offices,TD-0350,Administrative/Support Services Offices
TD-0400,,TD,Community Groups and Government/Administrative Offices
TD-0400.2000,,TD-0400,
TD-0400.6000,,TD-0400,
TD-1100,Categorical Program Administrative Units,TD,Community Groups and Government/Administrative Offices
TD-1100.1400,Community Action Agencies,TD-1100,Categorical Program Administrative Units
TD-1100.1500,Community Development Block Grant Agencies,TD-1100,Categorical Program Administrative Units
TD-1100.1500-120,CDBG Delegate Agencies,TD-1100.1500,Community Development Block Grant Agencies
TD-1100.1500-150,City CDBG Offices,TD-1100.1500,Community Development Block Grant Agencies
TD-1100.1500-800,State CDBG Offices,TD-1100.1500,Community Development Block Grant Agencies
TD-1100.2000,FEMA Emergency Food/Shelter Administrative Agencies,TD-1100,Categorical Program Administrative Units
TD-1100.2000-400,Local FEMA Boards,TD-1100.2000,FEMA Emergency Food/Shelter Administrative Agencies
TD-1100.2000-800,State Set Aside Committees,TD-1100.2000,FEMA Emergency Food/Shelter Administrative Agencies
TD-1100.6500,Older Americans Act Administrative Agencies,TD-1100,Categorical Program Administrative Units
TD-1100.6500-050,Area Agencies on Aging,TD-1100.6500,Older Americans Act Administrative Agencies
TD-1100.6500-800,State Units on Aging,TD-1100.6500,Older Americans Act Administrative Agencies
TD-1100.8500,Technology Act Administrative Agencies,TD-1100,Categorical Program Administrative Units
TD-1100.8600,211 Administrative Entities,TD-1100,Categorical Program Administrative Units
TD-1100.9000,Workforce Development Boards,TD-1100,Categorical Program Administrative Units
TD-1200,Charities/Grantmaking Organizations,TD,Community Groups and Government/Administrative Offices
TD-1200.1500,Community Funds,TD-1200,Charities/Grantmaking Organizations
TD-1200.1600,Corporate Giving Programs,TD-1200,Charities/Grantmaking Organizations
TD-1200.1800,Federated Giving Programs,TD-1200,Charities/Grantmaking Organizations
TD-1200.2500,Governmental Contracts/Grants Offices,TD-1200,Charities/Grantmaking Organizations
TD-1200.3300,Internet Based Giving Programs,TD-1200,Charities/Grantmaking Organizations
TD-1200.6500,Private Foundations,TD-1200,Charities/Grantmaking Organizations
TD-1200.6500-150,Corporate Foundations,TD-1200.6500,Private Foundations
TD-1200.6500-200,Family Foundations,TD-1200.6500,Private Foundations
TD-1200.6500-330,Independent Foundations,TD-1200.6500,Private Foundations
TD-1200.6500-700,Private Operating Foundations,TD-1200.6500,Private Foundations
TD-1200.6600,Public Charities,TD-1200,Charities/Grantmaking Organizations
TD-1200.6600-150,Community Foundations,TD-1200.6600,Public Charities
TD-1200.6600-600,Public Foundations,TD-1200.6600,Public Charities
TD-1200.6600-900,Voluntary Health Organizations,TD-1200.6600,Public Charities
TD-1400,Civic Groups,TD,Community Groups and Government/Administrative Offices
TD-1400.0400,Arts/Humanities Councils,TD-1400,Civic Groups
TD-1400.0500,Auxiliaries,TD-1400,Civic Groups
TD-1400.1500,Corporate Volunteer Councils,TD-1400,Civic Groups
TD-1400.2000,Fraternal Orders,TD-1400,Civic Groups
TD-1400.6500,Patriotic Societies,TD-1400,Civic Groups
TD-1400.8000,Service Clubs,TD-1400,Civic Groups
TD-1400.9000,Veteran Membership Organizations,TD-1400,Civic Groups
TD-1600,Community Action/Social Advocacy Groups,TD,Community Groups and Government/Administrative Offices
TD-1600.0500,Animal Rights Groups,TD-1600,Community Action/Social Advocacy Groups
TD-1600.1500,Consumer Action Groups,TD-1600,Community Action/Social Advocacy Groups
TD-1600.1530,Criminal Justice/Legal System Reform Groups,TD-1600,Community Action/Social Advocacy Groups
TD-1600.1530-060,Bail Reform Groups,TD-1600.1530,Criminal Justice/Legal System Reform Groups
TD-1600.1530-100,Civil Justice System Reform Groups,TD-1600.1530,Criminal Justice/Legal System Reform Groups
TD-1600.1530-120,Correctional System Reform Groups,TD-1600.1530,Criminal Justice/Legal System Reform Groups
TD-1600.1530-140,Criminal Offender Rights Groups,TD-1600.1530,Criminal Justice/Legal System Reform Groups
TD-1600.1530-180,Death Penalty Opponent Groups,TD-1600.1530,Criminal Justice/Legal System Reform Groups
TD-1600.1530-200,Death Penalty Proponent Groups,TD-1600.1530,Criminal Justice/Legal System Reform Groups
TD-1600.1530-350,Jury System Reform Groups,TD-1600.1530,Criminal Justice/Legal System Reform Groups
TD-1600.1530-380,Juvenile Justice System Reform Groups,TD-1600.1530,Criminal Justice/Legal System Reform Groups
TD-1600.1530-450,Law Enforcement Reform Groups,TD-1600.1530,Criminal Justice/Legal System Reform Groups
TD-1600.1530-650,Parole System Reform Groups,TD-1600.1530,Criminal Justice/Legal System Reform Groups
TD-1600.1530-800,Sentencing Reform Groups,TD-1600.1530,Criminal Justice/Legal System Reform Groups
TD-1600.1550,Cultural Heritage Groups,TD-1600,Community Action/Social Advocacy Groups
TD-1600.1750,Ecumenical Action Groups,TD-1600,Community Action/Social Advocacy Groups
TD-1600.1770,Education Advocacy Groups,TD-1600,Community Action/Social Advocacy Groups
TD-1600.1790,Employment Related Advocacy Groups,TD-1600,Community Action/Social Advocacy Groups
TD-1600.1800,Environmental Improvement Groups,TD-1600,Community Action/Social Advocacy Groups
TD-1600.2300,Government Reform Groups,TD-1600,Community Action/Social Advocacy Groups
TD-1600.2400,Government Watchdog Groups,TD-1600,Community Action/Social Advocacy Groups
TD-1600.2500,Gun Control Groups,TD-1600,Community Action/Social Advocacy Groups
TD-1600.2550,Gun Rights Groups,TD-1600,Community Action/Social Advocacy Groups
TD-1600.2570,Health Related Advocacy Groups,TD-1600,Community Action/Social Advocacy Groups
TD-1600.2600,Homelessness Advocacy Groups,TD-1600,Community Action/Social Advocacy Groups
TD-1600.2800,Housing Advocacy Groups,TD-1600,Community Action/Social Advocacy Groups
TD-1600.3000,Human Relations Groups,TD-1600,Community Action/Social Advocacy Groups
TD-1600.3100,Human Rights Groups,TD-1600,Community Action/Social Advocacy Groups
TD-1600.3100-140,Children's Rights Groups,TD-1600.3100,Human Rights Groups
TD-1600.3100-160,Constitutional/Civil Rights Groups,TD-1600.3100,Human Rights Groups
TD-1600.3100-180,Disability Rights Groups,TD-1600.3100,Human Rights Groups
TD-1600.3100-200,Ethnic Advocacy Groups,TD-1600.3100,Human Rights Groups
TD-1600.3100-330,Immigrant Rights Groups,TD-1600.3100,Human Rights Groups
TD-1600.3100-400,LGBTQ Advocacy Groups,TD-1600.3100,Human Rights Groups
TD-1600.3100-500,Men's Advocacy Groups,TD-1600.3100,Human Rights Groups
TD-1600.3100-550,Mental Health Associations,TD-1600.3100,Human Rights Groups
TD-1600.3100-650,Reproductive Rights Groups,TD-1600.3100,Human Rights Groups
TD-1600.3100-700,Right to Die Groups,TD-1600.3100,Human Rights Groups
TD-1600.3100-750,Right to Life Groups,TD-1600.3100,Human Rights Groups
TD-1600.3100-800,Senior Advocacy Groups,TD-1600.3100,Human Rights Groups
