id,location_id,program_id,accepted_payments,alternate_name,description,eligibility,email,fees,funding_sources,application_process,interpretation_services,keywords,languages,name,required_documents,service_areas,status,wait_time,website,taxonomy_ids
168612,55291350,,,,,,,,,,,,,U.S. Department of Housing and Urban Development,,,,,,
167226,55291357,,,,,,,,,,,,,Corporation For National and Community Service,,,,,,
169142,55291360,,,,,,,,,,,,,Baltimore City Sheriff's Office,,,,,,
201133,55291362,,,,,,,,,,,,,Maryland Family Network,,,,,,
167043,55291366,,,,,,,,,,,,,Baltimore City Department of Legislative Reference,,,,,,
167922,55291368,,,,,,,,,,,,,Baltimore City Mayor's Office of Constituent Services,,,,,,
401849,55289963,,,,,,,,,,,,,First Baptist Church of Dundalk,,,,,,
168443,55291384,,,,,,,,,,,,,Baltimore City Health Department,,,,,,
168521,55291382,,,,,,,,,,,,,Federal Public Defender's Office,,,,,,
168396,55291386,,,,,,,,,,,,,Julie Community Center,,,,,,
167210,55291393,,,,,,,,,,,,,Baltimore City Commission on Aging & Retirement Education,,,,,,
168523,55291396,,,,,,,,,,,,,Johns Hopkins Community Physicians,,,,,,
168722,55291398,,,,,,,,,,,,,Johns Hopkins University School of Medicine,,,,,,
168538,55291400,,,,,,,,,,,,,Pet Loss Helpline,,,,,,
0,168632,,,,"Seeks to fight sprawl development in Maryland by preserving natural resources, revitalizing & integrating historic resources into existing communities, informing and involving the public in community growth issues. Offers education, limited technical support, advocacy, speakers and limited funding.",,friends@friendsofmd.org,,,,,,,1000 Friends of Maryland,,,,,www.friendsofmd.org,
168443,55291412,,,,,,,,,,,,,Baltimore City Health Department,,,,,,
168443,55291409,,,,,,,,,,,,,Baltimore City Health Department,,,,,,
168443,55291407,,,,Near intersection of East Fayette Street and North Exeter Street,,,,,,,,,Baltimore City Health Department,,,,,,
168443,55291404,,,,,,,,,,,,,Baltimore City Health Department,,,,,,
201133,55291417,,,,,,,,,,,,,Maryland Family Network,,,,,,
201133,55291415,,,,,,,,,,,,,Maryland Family Network,,,,,,
168575,55291425,,,,,,,,,,,,,Churches United Against AIDS,,,,,,
167827,55291428,,,,,,,,,,,,,University of Maryland Medical System,,,,,,
167827,55291431,,,,,,,,,,,,,University of Maryland Medical System,,,,,,
260285,55291433,,,,,,,,,,,,,American Legion National Headquarters,,,,,,
167308,55291436,,,,,,,,,,,,,Franciscan Sisters of Baltimore,,,,,,
167524,55291443,,,,,,,,,,,,,Mayor's Office of Employment Development ,,,,,,
167524,55291446,,,,,,,,,,,,,Mayor's Office of Employment Development ,,,,,,
167521,55291449,,,,,,,,,,,,,Maryland Volunteer Lawyers Service,,,,,,
167034,55291455,,,,,,,,,,,,,"ASSOCIATED: Jewish Community Federation of Baltimore, The",,,,,,
167034,55291452,,,,,,,,,,,,,"ASSOCIATED: Jewish Community Federation of Baltimore, The",,,,,,
167513,55291458,,,,,,,,,,,,,Maryland State Department of Education,,,,,,
168577,55289969,,,,,,,,,,,,,"Key Point Health Services, Administrative Office",,,,,,
167390,55291464,,,,,,,,,,,,,Helping Up Mission,,,,,,
168248,55291470,,,,,,,,,,,,,"U.S. Department of Labor, Wage and Hour Division",,,,,,
167048,55291476,,,,,,,,,,,,,Baltimore City Police Department,,,,,,
168626,55291488,,,,,,,,,,,,,Native American Lifelines,,,,,,
168313,55291493,,,,,,,,,,,,,Maryland Humanities ,,,,,,
44865489,55291496,,,,,,,,,,,,,Blossoms House of Restoration ,,,,,,
182559,55291498,,,,,,,,,,,,,University of Baltimore,,,,,,
1294078,55291502,,,,,,,,,,,,,Boys and Girls Clubs of America,,,,,,
1739551,55291508,,,,,,,,,,,,,Brooklyn Community United Methodist Church ,,,,,,
167227,55291511,,,,,,,,,,,,,Corpus Christi,,,,,,
167922,55291514,,,,,,,,,,,,,Baltimore City Mayor's Office of Constituent Services,,,,,,
26878053,55291516,,,,,,,,,,,,,Northside Baptist Church ,,,,,,
167513,55291521,,,,,,,,,,,,,Maryland State Department of Education,,,,,,
167496,55291527,,,,,,,,,,,,,"Maryland Department of Labor, Licensing & Regulation",,,,,,
167496,55291524,,,,,,,,,,,,,"Maryland Department of Labor, Licensing & Regulation",,,,,,
201133,55291530,,,,,,,,,,,,,Maryland Family Network,,,,,,
168212,55291532,,,,,,,,,,,,,Maryland Psychiatric Society,,,,,,
167360,55291537,,,,,,,,,,,,,Hampden Family Center,,,,,,
168875,55291542,,,,,,,,,,,,,Baltimore City Bar Association,,,,,,
169144,55291547,,,,,,,,,,,,,Baltimore City Circuit Court,,,,,,
169144,55291545,,,,,,,,,,,,,Baltimore City Circuit Court,,,,,,
168474,55291550,,,,,,,,,,,,,Greater Baltimore Committee,,,,,,
167148,55291553,,,,,,,,,,,,,Catholic Charities of the Archdiocese of Baltimore,,,,,,
169014,55291555,,,,,,,,,,,,,Baltimore County Office of Workforce Development,,,,,,
167383,55291561,,,,,,,,,,,,,Chase Brexton Health Services,,,,,,
167032,55291567,,,,,,,,,,,,,Associated Black Charities,,,,,,
167675,55291570,,,,,,,,,,,,,"Salvation Army Central Maryland, The",,,,,,
167766,55291573,,,,,,,,,,,,,St. Vincent de Paul of Baltimore,,,,,,
167148,55291576,,,,,,,,,,,,,Catholic Charities of the Archdiocese of Baltimore,,,,,,
167923,55291582,,,,,,,,,,,,,Paul's Place,,,,,,
168862,55291588,,,,,,,,,,,,,Dayspring Programs,,,,,,
168862,55291590,,,,,,,,,,,,,Dayspring Programs,,,,,,
358097,55291604,,,,,,,,,,,,,Baltimore American Indian Center,,,,,,
166954,55291609,,,,,,,,,,,,,First Mount Calvary Baptist Church,,,,,,
168054,55291612,,,,,,,,,,,,,Volunteers of America Chesapeake,,,,,,
167880,55291618,,,,,,,,,,,,,"Women's Housing Coalition, The",,,,,,
167050,55291624,,,,,,,,,,,,,Baltimore City State's Attorney's Office,,,,,,
167050,55291627,,,,,,,,,,,,,Baltimore City State's Attorney's Office,,,,,,
167766,55291629,,,,,,,,,,,,,St. Vincent de Paul of Baltimore,,,,,,
167827,55291640,,,,,,,,,,,,,University of Maryland Medical System,,,,,,
167827,55291638,,,,,,,,,,,,,University of Maryland Medical System,,,,,,
167827,55291635,,,,,,,,,,,,,University of Maryland Medical System,,,,,,
167827,55291631,,,,,,,,,,,,,University of Maryland Medical System,,,,,,
167244,55291642,,,,,,,,,,,,,Maryland Department of Juvenile Services,,,,,,
167574,55291647,,,,,,,,,,,,,Neighborhood Design Center,,,,,,
23505117,55291658,,,,,,,,,,,,,Union Baptist Church ,,,,,,
168639,55291661,,,,,,,,,,,,,Maryland Emergency Management Agency,,,,,,
167723,55289972,,,,,,,,,,,,,Southwest Emergency Services,,,,,,
11920917,55289975,,,,,,,,,,,,,St. Clement's Church,,,,,,
168632,55291668,,,,,,,,,,,,,1000 Friends of Maryland,,,,,,
167941,55291671,,,,,,,,,,,,,"MedChi, The Maryland State Medical Society",,,,,,
167047,55291676,,,,,,,,,,,,,Baltimore City Medical Society,,,,,,
167941,55291674,,,,,,,,,,,,,"MedChi, The Maryland State Medical Society",,,,,,
168048,55291679,,,,,,,,,,,,,Baltimore City Head Start Program,,,,,,
24418029,55291682,,,,,,,,,,,,,Mattie B. Uzzle Outreach Center,,,,,,
167524,55291684,,,,,,,,,,,,,Mayor's Office of Employment Development ,,,,,,
168402,55291688,,,,,,,,,,,,,Historic East Baltimore Community Action Coalition,,,,,,
8892260,55291692,,,,,,,,,,,,,"Ulman Cancer Fund, The",,,,,,
1830800,55291695,,,,,,,,,,,,,UMAR Boxing ,,,,,,
167045,55291698,,,,,,,,,,,,,Baltimore City Department of Social Services,,,,,,
167045,55291704,,,,,,,,,,,,,Baltimore City Department of Social Services,,,,,,
167045,55291701,,,,,,,,,,,,,Baltimore City Department of Social Services,,,,,,
167045,55291706,,,,,,,,,,,,,Baltimore City Department of Social Services,,,,,,
9061262,55291709,,,,,,,,,,,,,Baltimore Community Tool Bank,,,,,,
167042,55291714,,,,,,,,,,,,,Baltimore Housing Authority,,,,,,
167042,55291712,,,,,,,,,,,,,Baltimore Housing Authority,,,,,,
167827,55291718,,,,,,,,,,,,,University of Maryland Medical System,,,,,,
167069,55291720,,,,,,,,,,,,,"Baltimore Rescue Mission, The",,,,,,
219399,55291722,,,,,,,,,,,,,Jai Medical Center,,,,,,
167762,55291727,,,,,,,,,,,,,St. Peter's Adult Learning Center,,,,,,
168455,55291731,,,,,,,,,,,,,Presbytery of Baltimore,,,,,,
168486,55291733,,,,,,,,,,,,,Habitat for Humanity International,,,,,,
168486,55291738,,,,,,,,,,,,,Habitat for Humanity International,,,,,,
167524,55291390,,,Accademy for College and Career Exploration; ACCE,Near the intersection of Falls Road and West 36th Street. ,,,,,,,,,Mayor's Office of Employment Development ,,,,,,
168600,55291744,,,,,,,,,,,,,Booker T. Washington Middle School,,,,,,
167883,55291746,,,,,,,,,,,,,Woodbourne Center,,,,,,
167883,55291749,,,,,,,,,,,,,Woodbourne Center,,,,,,
167511,55291752,,,,,,,,,,,,,Maryland Society for Sight,,,,,,
167438,55291758,,,,,,,,,,,,,Jubilee Baltimore,,,,,,
167690,55291761,,,,,,,,,,,,,Second Shiloh Meal Kitchen & Emergency Food Pantry,,,,,,
168394,55291763,,,,,,,,,,,,,Powell Recovery Center,,,,,,
167718,55291773,,,,,,,,,,,,,"Baltimore Station, The",,,,,,
167514,55291775,,,,,,,,,,,,,Maryland Department of Transportation,,,,,,
168362,55291778,,,,,,,,,,,,,Oliver Community Economic Development Corporation,,,,,,
168401,55291784,,,,,,,,,,,,,United Ministries,,,,,,
167825,55291789,,,,,,,,,,,,,University of Baltimore School of Law,,,,,,
167641,55291791,,,,,,,,,,,,,Providence Baptist Church,,,,,,
169021,55291794,,,,,,,,,,,,,Developmental Disabilities Administration ,,,,,,
167531,55291802,,,,,,,,,,,,,Samaritan Community,,,,,,
168435,55291806,,,,,,,,,,,,,Providence Adult Day Care,,,,,,
167079,55291808,,,,,,,,,,,,,Bethel African Methodist Episcopal Church,,,,,,
168095,55291811,,,,,,,,,,,,,Active Day,,,,,,
167715,55291815,,,,,,,,,,,,,South Baltimore Community Assistance Program,,,,,,
168079,55289979,,,,,,,,,,,,,Asthma and Allergy Foundation of America ,,,,,,
167394,55291826,,,,,,,,,,,,,Homestead UMC Service Center,,,,,,
167394,55291823,,,,,,,,,,,,,Homestead UMC Service Center,,,,,,
167485,55291836,,,,,,,,,,,,,Maryland Nonprofits,,,,,,
203786,55291839,,,,,,,,,,,,,Bell Foundation,,,,,,
167485,55291845,,,,,,,,,,,,,Maryland Nonprofits,,,,,,
167497,55291842,,,,,,,,,,,,,Disability Rights Maryland,,,,,,
168656,55291856,,,,,,,,,,,,,Community Conferencing Center,,,,,,
188179,55291853,,,,,,,,,,,,,Higher Achievement Program,,,,,,
167485,55291850,,,,,,,,,,,,,Maryland Nonprofits,,,,,,
2698485,55291858,,,,,,,,,,,,,Urban Alliance ,,,,,,
167784,55291862,,,,,,,,,,,,,Total Health Care,,,,,,
167736,55291864,,,,,,,,,,,,,St. Francis Xavier Church,,,,,,
167102,55291872,,,,,,,,,,,,,New Metropolitan Church,,,,,,
167102,55291870,,,,,,,,,,,,,New Metropolitan Church,,,,,,
167102,55291875,,,,,,,,,,,,,New Metropolitan Church,,,,,,
168191,55291877,,,,,,,,,,,,,Agape House,,,,,,
168191,55291883,,,,,,,,,,,,,Agape House,,,,,,
168191,55291880,,,,,,,,,,,,,Agape House,,,,,,
168191,55291893,,,,,,,,,,,,,Agape House,,,,,,
168191,55291891,,,,,,,,,,,,,Agape House,,,,,,
168191,55291888,,,,,,,,,,,,,Agape House,,,,,,
168191,55291885,,,,,,,,,,,,,Agape House,,,,,,
168191,55291899,,,,,,,,,,,,,Agape House,,,,,,
168191,55291896,,,,,,,,,,,,,Agape House,,,,,,
168523,55291905,,,,,,,,,,,,,Johns Hopkins Community Physicians,,,,,,
28766236,55291908,,,,,,,,,,,,,Safe Alternative Foundation for Education (SAFE),,,,,,
167784,55291915,,,,,,,,,,,,,Total Health Care,,,,,,
167784,55291912,,,,,,,,,,,,,Total Health Care,,,,,,
168751,55289982,,,,,,,,,,,,,"People Encouraging People, Corporate Office",,,,,,
167524,55291920,,,,,,,,,,,,,Mayor's Office of Employment Development ,,,,,,
167784,55291923,,,,,,,,,,,,,Total Health Care,,,,,,
168443,55291925,,,,,,,,,,,,,Baltimore City Health Department,,,,,,
167346,55291929,,,,,,,,,,,,,Govans Ecumenical Development Corporation (GEDCO),,,,,,
167045,55291934,,,,,,,,,,,,,Baltimore City Department of Social Services,,,,,,
167045,55291931,,,,,,,,,,,,,Baltimore City Department of Social Services,,,,,,
168355,55291937,,,,,,,,,,,,,New Song Urban Ministries,,,,,,
167737,55291940,,,,,,,,,,,,,St. Gregory the Great Church,,,,,,
167766,55291944,,,,,,,,,,,,,St. Vincent de Paul of Baltimore,,,,,,
167091,55291949,,,,,,,,,,,,,Black Mental Health Alliance for Education/Consultation,,,,,,
167791,55291961,,,,,,,,,,,,,Trinity Baptist Church,,,,,,
167900,55291969,,,,,,,,,,,,,"Y of Central Maryland, Association Office",,,,,,
167900,55291971,,,,,,,,,,,,,"Y of Central Maryland, Association Office",,,,,,
167048,55291974,,,,,,,,,,,,,Baltimore City Police Department,,,,,,
166957,55291977,,,,,,,,,,,,,AIDS Interfaith Residential Services ,,,,,,
31463215,55291982,,,,,,,,,,,,,"Clay Pots, A Place to Grow",,,,,,
167148,55291988,,,,,,,,,,,,,Catholic Charities of the Archdiocese of Baltimore,,,,,,
167766,55291985,,,,,,,,,,,,,St. Vincent de Paul of Baltimore,,,,,,
168877,55291990,,,,,,,,,,,,,Hostelling International - USA Potomac Area Council,,,,,,
169001,55291993,,,,,,,,,,,,,Morgan State University,,,,,,
169051,55291996,,,,,,,,,,,,,NorthEast Development Alliance,,,,,,
168387,55292000,,,,,,,,,,,,,Baltimore Mediation Facilitation & Training,,,,,,
167904,55292003,,,,,,,,,,,,,Zion Baptist Church,,,,,,
12477699,55292017,,,,,,,,,,,,,Second Chance,,,,,,
167605,55292022,,,,,,,,,,,,,Payne Memorial Church,,,,,,
167605,55292020,,,,,,,,,,,,,Payne Memorial Church,,,,,,
169149,55292025,,,,,,,,,,,,,University of Maryland School of Social Work,,,,,,
167245,55292036,,,,,,,,,,,,,"Humanim, Inc.",,,,,,
167245,55292040,,,,,,,,,,,,,"Humanim, Inc.",,,,,,
167271,55292042,,,,,,,,,,,,,Echo House Multi-Service Center,,,,,,
167474,55292044,,,,,,,,,,,,,Lutheran Mission Society of Maryland,,,,,,
167827,55292048,,,,,,,,,,,,,University of Maryland Medical System,,,,,,
169096,55292050,,,,,,,,,,,,,Spectrum Support,,,,,,
168715,55292056,,,,,,,,,,,,,Taylor Made Assisted Living Center,,,,,,
167435,55292059,,,,,,,,,,,,,Johns Hopkins Hospital,,,,,,
54843697,55291781,,,,Located near the intersections of Rutland Avenue and McDonogh Street.,,,,,,,,,Baltimore City Mayor's Office of Human Services ,,,,,,
374366,55292082,,,,,,,,,,,,,Light of Truth Center,,,,,,
167480,55292089,,,,,,,,,,,,,March of Dimes Maryland-Maryland Market,,,,,,
168259,55292086,,,,,,,,,,,,,Business Volunteer Unlimited Maryland,,,,,,
168881,55292100,,,,,,,,,,,,,The Family Center at Kennedy Krieger,,,,,,
167442,55292093,,,,,,,,,,,,,Kennedy Krieger Institute,,,,,,
167494,55292130,,,,,,,,,,,,,Maryland Department of Health,,,,,,
168080,58121265,,,,,,,,,,,,,Crohn's & Colitis Foundation of America,,,,,,
56755788,56938855,,,,,,emartinez@supportkind.org,,,,,,,Project KIND,,,,,https://supportkind.org/,
167697,55292132,,,,,,,,,,,,,"TurnAround, Inc.",,,,,,
166957,55292138,,,,,,,,,,,,,AIDS Interfaith Residential Services ,,,,,,
166957,55292135,,,,,,,,,,,,,AIDS Interfaith Residential Services ,,,,,,
167435,55292141,,,,,,,,,,,,,Johns Hopkins Hospital,,,,,,
167608,55292146,,,,,,,,,,,,,People's Church of Baltimore,,,,,,
167813,55292163,,,,,,,,,,,,,United Way of Central Maryland,,,,,,
167813,55292154,,,,,,,,,,,,,United Way of Central Maryland,,,,,,
167813,55292151,,,,,,,,,,,,,United Way of Central Maryland,,,,,,
358732,55292148,,,,,,,,,,,,,Maryland Department of Environment,,,,,,
358719,55292170,,,,,,,,,,,,,Maryland Energy Administration,,,,,,
167327,55292166,,,,,,,,,,,,,"Fuel Fund of Maryland, Administrative Office",,,,,,
167639,55292173,,,,,,,,,,,,,Project PLASE,,,,,,
168382,55292176,,,,,,,,,,,,,Raven's Medical Adult Day Care Center,,,,,,
169023,55289986,,,,,,,,,,,,,Center for Community Integration,,,,,,
167470,55292180,,,,,,,,,,,,,Ark Church,,,,,,
167048,55292183,,,,,,,,,,,,,Baltimore City Police Department,,,,,,
168524,55292186,,,,,,,,,,,,,Outward Bound USA,,,,,,
204262,55292189,,,,,,,,,,,,,"Reclaiming Our Children and Community Project, Inc.",,,,,,
12830652,55292195,,,,,,,,,,,,,Scarlet Covering ,,,,,,
56406496,56406500,,,,Near the intersection of North Howard Street and West 20th Street.,,,,,,,,,Better Tomorrow Starts Today,,,,,www.btstservices.com,
167044,55292206,,,,,,,,,,,,,Baltimore City Department of Recreation and Parks,,,,,,
167902,55292209,,,,,,,,,,,,,YWCA of the Greater Baltimore Area,,,,,,
168676,55292215,,,,,,,,,,,,,Newborn Holistic Ministries,,,,,,
167262,55289990,,,,,,,,,,,,,Dundalk Youth Service Center,,,,,,
167471,55292218,,,,,,,,,,,,,Loading Dock,,,,,,
168671,55292221,,,,,,,,,,,,,Downtown Partnership of Baltimore,,,,,,
38339526,55292231,,,,,,,,,,,,,Baltimore Regional Housing Partnership,,,,,,
168399,55292235,,,,,,,,,,,,,Youth As Resources,,,,,,
168752,55292238,,,,,,,,,,,,,Ebenezer AME Church,,,,,,
368000,55292242,,,,,,,,,,,,,New Vision House of Hope,,,,,,
167049,55292248,,,,,,,,,,,,,Baltimore City Public School System,,,,,,
167049,55292245,,,,,,,,,,,,,Baltimore City Public School System,,,,,,
167049,55292254,,,,,,,,,,,,,Baltimore City Public School System,,,,,,
167049,55292250,,,,,,,,,,,,,Baltimore City Public School System,,,,,,
167566,55292257,,,,,,,,,,,,,"National Federation of the Blind, Headquarters",,,,,,
37337784,55292260,,,,,,,,,,,,,Baltimore City Department of Public Works,,,,,,
168443,55292263,,,,,,,,,,,,,Baltimore City Health Department,,,,,,
167585,55292265,,,,,,,,,,,,,Maryland Office of the Attorney General,,,,,,
168140,55292270,,,,,,,,,,,,,Maryland Insurance Administration,,,,,,
167513,55292272,,,,,,,,,,,,,Maryland State Department of Education,,,,,,
39378823,55292278,,,,,,,,,,,,,Mount Zion Food Pantry,,,,,,
167045,55292284,,,,,,,,,,,,,Baltimore City Department of Social Services,,,,,,
167882,55292289,,,,,,,,,,,,,"Office of the Maryland Women, Infants and Children Program",,,,,,
167495,55293144,,,,On North Broadway between the intersections of North Avenue and Bonaparte Ave. ,,,,,,,,,Maryland Department of Human Services,,,,,,
167094,55292291,,,,,,,,,,,,,Bon Secours Baltimore Health System,,,,,,
167382,55292299,,,,,,,,,,,,,Health Care for the Homeless,,,,,,
167094,55292295,,,,,,,,,,,,,Bon Secours Baltimore Health System,,,,,,
167094,55292293,,,,,,,,,,,,,Bon Secours Baltimore Health System,,,,,,
259792,55292304,,,,,,,,,,,,,Christian Memorial Church,,,,,,
166991,55292309,,,,,,,,,,,,,American Diabetes Association,,,,,,
166991,55292307,,,,,,,,,,,,,American Diabetes Association,,,,,,
167187,55292312,,,,,,,,,,,,,Christ UMC,,,,,,
201133,55289993,,,,,,,,,,,,,Maryland Family Network,,,,,,
167922,55292316,,,,,,,,,,,,,Baltimore City Mayor's Office of Constituent Services,,,,,,
167494,55292322,,,,,,,,,,,,,Maryland Department of Health,,,,,,
167953,55292320,,,,,,,,,,,,,Baltimore City Department of Communication Services,,,,,,
168126,55292326,,,,,,,,,,,,,MedStar Health,,,,,,
167042,55292329,,,,,,,,,,,,,Baltimore Housing Authority,,,,,,
168653,55292339,,,,,,,,,,,,,Recovery Network ,,,,,,
167521,55292337,,,,,,,,,,,,,Maryland Volunteer Lawyers Service,,,,,,
167392,55292334,,,,,,,,,,,,,Homeless Persons Representation Project,,,,,,
182028,55292445,,,,Located in between the intersections of East Saratoga Street and East Lexington Street. ,,,,,,,,,Job Opportunities Task Force (JOTF),,,,,,
34283650,55292345,,,,,,,,,,,,,Tahirih Justice Center,,,,,,
167643,55292348,,,,,,,,,,,,,Maryland Office of the Public Defender,,,,,,
167494,55292350,,,,,,,,,,,,,Maryland Department of Health,,,,,,
167494,55292363,,,,,,,,,,,,,Maryland Department of Health,,,,,,
167494,55292358,,,,,,,,,,,,,Maryland Department of Health,,,,,,
167494,55292372,,,,,,,,,,,,,Maryland Department of Health,,,,,,
167494,55292369,,,,,,,,,,,,,Maryland Department of Health,,,,,,
167494,55292366,,,,,,,,,,,,,Maryland Department of Health,,,,,,
167882,55292375,,,,,,,,,,,,,"Office of the Maryland Women, Infants and Children Program",,,,,,
167832,55292391,,,,,,,,,,,,,US Department of Veterans Affairs,,,,,,
167392,55292388,,,,,,,,,,,,,Homeless Persons Representation Project,,,,,,
167832,55292384,,,,,,,,,,,,,US Department of Veterans Affairs,,,,,,
166962,55292394,,,,,,,,,,,,,Baltimore Community Resource Center,,,,,,
166962,55292396,,,,,,,,,,,,,Baltimore Community Resource Center,,,,,,
56406555,56406557,,,,Near intersection of Lexington Street and Guilford Avenue,,,,,,,,,"Inspirations, LLC",,,,,http://www.inspirationsmd.com/,
168443,55292402,,,,,,,,,,,,,Baltimore City Health Department,,,,,,
167813,55292404,,,,,,,,,,,,,United Way of Central Maryland,,,,,,
167663,55292407,,,,,,,,,,,,,St. Wenceslaus Catholic Church,,,,,,
168598,55292412,,,,,,,,,,,,,DRU Mondawmin Healthy Families,,,,,,
1741086,55292414,,,,,,,,,,,,,Parks and People Foundation,,,,,,
167578,55292420,,,,,,,,,,,,,New Shiloh Baptist Church,,,,,,
616558,55292423,,,,,,,,,,,,,Institutes for Behavioral Resources,,,,,,
167599,55292425,,,,,,,,,,,,,"Family Tree, The",,,,,,
168443,55292429,,,,,,,,,,,,,Baltimore City Health Department,,,,,,
167281,55292432,,,,,,,,,,,,,Maryland Episcopal Collaborative,,,,,,
616562,55292435,,,,,,,,,,,,,Man Alive,,,,,,
169080,55292440,,,,,,,,,,,,,Druid Heights Community Development Corporation,,,,,,
169061,55292442,,,,,,,,,,,,,Structured Employment Economic Development Corporation,,,,,,
169061,55289415,,,,,,,,,,,,,Structured Employment Economic Development Corporation,,,,,,
166992,55292447,,,,,,,,,,,,,"American Heart Association, Maryland Office",,,,,,
182028,55292450,,,,,,,,,,,,,Job Opportunities Task Force (JOTF),,,,,,
167068,55292458,,,,,,,,,,,,,Narcotics Anonymous Service Center,,,,,,
182683,55292460,,,,,,,,,,,,,Maryland Crime Victims Resource Center,,,,,,
168350,55292465,,,,,,,,,,,,,"US Department of Labor, Employment & Training Administration",,,,,,
168616,55290002,,,,,,,,,,,,,"Shelter Group, The",,,,,,
167461,55292467,,,,,,,,,,,,,"Lexaco, Inc.",,,,,,
167249,55292470,,,,,,,,,,,,,"Door, Inc. The",,,,,,
168585,55292473,,,,,,,,,,,,,America Works of Maryland,,,,,,
167827,55292475,,,,,,,,,,,,,University of Maryland Medical System,,,,,,
167828,55292478,,,,,,,,,,,,,University of Maryland School of Pharmacy,,,,,,
168581,55292481,,,,,,,,,,,,,Women Accepting Responsibility ,,,,,,
167498,55292483,,,,,,,,,,,,,Maryland Food Bank,,,,,,
167827,55292489,,,,,,,,,,,,,University of Maryland Medical System,,,,,,
168516,55290005,,,,,,,,,,,,,Brain Injury Association of Maryland,,,,,,
168508,55292492,,,,,,,,,,,,,Light Health & Wellness Comprehensive Service,,,,,,
167400,55292508,,,,,,,,,,,,,"House of Ruth, Maryland",,,,,,
167400,55292505,,,,,,,,,,,,,"House of Ruth, Maryland",,,,,,
167400,55292502,,,,,,,,,,,,,"House of Ruth, Maryland",,,,,,
167400,55292499,,,,,,,,,,,,,"House of Ruth, Maryland",,,,,,
167400,55292496,,,,,,,,,,,,,"House of Ruth, Maryland",,,,,,
358851,55292513,,,,,,,,,,,,,Mt. Moriah Church,,,,,,
168649,55292518,,,,,,,,,,,,,Center for Urban Families,,,,,,
168649,55292516,,,,,,,,,,,,,Center for Urban Families,,,,,,
167524,56074995,,,WEB Dubois High School,"Near the intersections of Pioneer Drive, Fleetwood Avenue and Plymouth Road.   ",,,,,,,,,Mayor's Office of Employment Development ,,,,,,
167048,55292520,,,,,,,,,,,,,Baltimore City Police Department,,,,,,
168223,55292523,,,,,,,,,,,,,First Emmanuel Baptist Church,,,,,,
167792,55292531,,,,,,,,,,,,,True Way Church of Christ,,,,,,
167345,55292533,,,,,,,,,,,,,Goodwill Industries of the Chesapeake,,,,,,
168583,55292535,,,,,,,,,,,,,"Men and Families Center, The",,,,,,
168270,55292539,,,,,,,,,,,,,Casa de Maryland,,,,,,
168557,55292551,,,,,,,,,,,,,Mosaic Community Services,,,,,,
168557,55292542,,,,,,,,,,,,,Mosaic Community Services,,,,,,
167049,55292554,,,,,,,,,,,,,Baltimore City Public School System,,,,,,
167739,55292557,,,,,,,,,,,,,St. John Lutheran Church,,,,,,
167148,55292560,,,,,,,,,,,,,Catholic Charities of the Archdiocese of Baltimore,,,,,,
169074,55292563,,,,,,,,,,,,,Optimum Health Systems,,,,,,
167882,55292569,,,,,,,,,,,,,"Office of the Maryland Women, Infants and Children Program",,,,,,
169036,55292566,,,,,,,,,,,,,Garwyn Oaks Housing Resource Center,,,,,,
