bom,name,taxonomy_id,parent_id,parent_name,type,filter,filter_parent,filter_priority
,Supplies for Work,104-03-07,104-03,Home Goods,service,FALSE,FALSE,
,Medical Supplies,104-04,104,Goods,service,FALSE,FALSE,
,Assistive Technology,104-04-01,104-04,Medical Supplies,service,FALSE,FALSE,
,Toys & Gifts,104-05,104,Goods,service,FALSE,FALSE,
,Transit,105,,,service,FALSE,FALSE,
,Help Pay for Transit,105-01,105,Transit,service,FALSE,FALSE,
,Bus Passes,105-01-01,105-01,Help Pay for Transit,service,FALSE,FALSE,
,Help Pay for Gas,105-01-02,105-01,Help Pay for Transit,service,FALSE,FALSE,
,Transportation,105-02,105,Transit,service,FALSE,FALSE,
,Transportation for Healthcare,105-02-01,105-02,Transportation,service,FALSE,FALSE,
,Transportation for School,105-02-02,105-02,Transportation,service,FALSE,FALSE,
,Health,106,,,service,FALSE,FALSE,
,Substance Use Disorder,106-01,106,Health,service,TRUE,TRUE,900
,Treatment Setting,106-01-01,106-01,Substance Use Disorder,service,TRUE,FALSE,
,Outpatient Treatment,106-01-01-01,106-01-01,Treatment Setting,service,TRUE,FALSE,
,(Level 1) Regular Outpatient Treatment,106-01-01-01-01,106-01-01-01,Outpatient Treatment,service,TRUE,FALSE,
,(Level 2.1) Intensive Outpatient Treatment,106-01-01-01-02,106-01-01-01,Outpatient Treatment,service,TRUE,FALSE,
,(Level 2.5) Outpatient Day Treatment or partial hospitalization,106-01-01-01-03,106-01-01-01,Outpatient Treatment,service,TRUE,FALSE,
,Residential Treatment,106-01-01-02,106-01-01,Treatment Setting,service,TRUE,FALSE,
,Recovery Housing,106-01-01-02-01,106-01-01-02,Residential Treatment,service,TRUE,FALSE,
,(Level 3.1) Transitional housing or Halfway House,106-01-01-02-02,106-01-01-02,Residential Treatment,service,TRUE,FALSE,
,(Level 3.3) Residential Treatment,106-01-01-02-03,106-01-01-02,Residential Treatment,service,TRUE,FALSE,
,(Level 3.5) Residential Treatment,106-01-01-02-04,106-01-01-02,Residential Treatment,service,TRUE,FALSE,
,(Level 3.7) Residential Treatment,106-01-01-02-05,106-01-01-02,Residential Treatment,service,TRUE,FALSE,
,Hospital Inpatient Treatment,106-01-01-03,106-01-01,Treatment Setting,service,TRUE,FALSE,
,(Level 4) Hospital Inpatient,106-01-01-03-01,106-01-01-03,Hospital Inpatient Treatment,service,TRUE,FALSE,
,Type of Care,106-01-02,106-01,Substance Use Disorder,service,TRUE,FALSE,
,Medication-Assisted Treatment (MAT) Provided,106-01-02-01,106-01-02,Type of Care,service,TRUE,FALSE,
,Opioid Use Disorders,106-01-02-01-01,106-01-02-01,Medication-Assisted Treatment (MAT) Provided,service,TRUE,FALSE,
,Methadone,106-01-02-01-01-01,106-01-02-01-01,Opioid Use Disorders,service,TRUE,FALSE,
,Buprenorphine,106-01-02-01-01-02,106-01-02-01-01,Opioid Use Disorders,service,TRUE,FALSE,
,Naltrexone,106-01-02-01-01-03,106-01-02-01-01,Opioid Use Disorders,service,TRUE,FALSE,
,Alcohol Use Disorders,106-01-02-01-02,106-01-02-01,Medication-Assisted Treatment (MAT) Provided,service,TRUE,FALSE,
,Acamprosate,106-01-02-01-02-01,106-01-02-01-02,Alcohol Use Disorders,service,TRUE,FALSE,
,Disulfiram,106-01-02-01-02-02,106-01-02-01-02,Alcohol Use Disorders,service,TRUE,FALSE,
,Naltrexone,106-01-02-01-02-03,106-01-02-01-02,Alcohol Use Disorders,service,TRUE,FALSE,
,Nicotine Use Disorders,106-01-02-01-03,106-01-02-01,Medication-Assisted Treatment (MAT) Provided,service,TRUE,FALSE,
,Bupropion,106-01-02-01-03-01,106-01-02-01-03,Nicotine Use Disorders,service,TRUE,FALSE,
,(NRTs) Nicotine Replacement Therapies,106-01-02-01-03-02,106-01-02-01-03,Nicotine Use Disorders,service,FALSE,FALSE,
,Varenicline,106-01-02-01-03-03,106-01-02-01-03,Nicotine Use Disorders,service,TRUE,FALSE,
,Withdrawal Management,106-01-02-02,106-01-02,Type of Care,service,TRUE,FALSE,
,Behavioral Therapy,106-01-02-03,106-01-02,Type of Care,service,TRUE,FALSE,
,(ACT) Acceptance and Commitment Therapy,106-01-02-03-01,106-01-02-03,Behavioral Therapy,service,TRUE,FALSE,
,(CBT) Cognitive Behavioral Therapy,106-01-02-03-02,106-01-02-03,Behavioral Therapy,service,FALSE,FALSE,
,(MAT) Medicaiton Assisted Treatment,106-01-02-03-03,106-01-02-03,Behavioral Therapy,service,FALSE,FALSE,
,(MET) Motivational Enhancement Therapy,106-01-02-03-04,106-01-02-03,Behavioral Therapy,service,TRUE,FALSE,
,(MI) Motivational Interviewing,106-01-02-03-05,106-01-02-03,Behavioral Therapy,service,TRUE,FALSE,
,Psychoeducation,106-01-02-03-06,106-01-02-03,Behavioral Therapy,service,TRUE,FALSE,
,Psychotherapy,106-01-02-03-07,106-01-02-03,Behavioral Therapy,service,TRUE,FALSE,
,(RP) Relapse Prevention,106-01-02-03-08,106-01-02-03,Behavioral Therapy,service,TRUE,FALSE,
,(SFGT) Solution-Focused Group Therapy,106-01-02-03-09,106-01-02-03,Behavioral Therapy,service,FALSE,FALSE,
,(SE) Supportive Expressive Psychotherapy,106-01-02-03-10,106-01-02-03,Behavioral Therapy,service,TRUE,FALSE,
,Trauma Informed Treatment,106-01-02-03-11,106-01-02-03,Behavioral Therapy,service,TRUE,FALSE,
,Dental Care,106-02,106,Health,service,FALSE,FALSE,
,End-of-Life Care,106-03,106,Health,service,FALSE,FALSE,
,Bereavement,106-03-01,106-03,End-of-Life Care,service,FALSE,FALSE,
,Burial & Funeral Help,106-03-02,106-03,End-of-Life Care,service,FALSE,FALSE,
,Hospice,106-03-03,106-03,End-of-Life Care,service,FALSE,FALSE,
,Pain Management,106-03-04,106-03,End-of-Life Care,service,FALSE,FALSE,
,Health Education,106-04,106,Health,service,FALSE,FALSE,
,Daily Life Skills,106-04-01,106-04,Health Education,service,FALSE,FALSE,
,Disease Management,106-04-02,106-04,Health Education,service,FALSE,FALSE,
,Family Planning,106-04-03,106-04,Health Education,service,FALSE,FALSE,
,Nutrition,106-04-04,106-04,Health Education,service,FALSE,FALSE,
,Parenting Education,106-04-05,106-04,Health Education,service,FALSE,FALSE,
,Sex Education,106-04-06,106-04,Health Education,service,FALSE,FALSE,
,Understand Disability,106-04-07,106-04,Health Education,service,FALSE,FALSE,
,Understand Mental Health,106-04-08,106-04,Health Education,service,FALSE,FALSE,
,Help Pay for Healthcare,106-05,106,Health,service,FALSE,FALSE,
,Disability Benefits,106-05-01,106-05,Help Pay for Healthcare,service,FALSE,FALSE,
,Discounted Healthcare,106-05-02,106-05,Help Pay for Healthcare,service,FALSE,FALSE,
,Health Insurance,106-05-03,106-05,Help Pay for Healthcare,service,FALSE,FALSE,
,Medical Supplies,106-05-04,106-05,Help Pay for Healthcare,service,FALSE,FALSE,
,Prosthesis,106-05-04-01,106-05-04,Medical Supplies,service,FALSE,FALSE,
,Durable Medical Equipment,106-05-04-02,106-05-04,Medical Supplies,service,FALSE,FALSE,
,Prescription Assistance,106-05-05,106-05,Help Pay for Healthcare,service,FALSE,FALSE,
,Transportation for Healthcare,106-05-06,106-05,Help Pay for Healthcare,service,FALSE,FALSE,
,Medical Care,106-06,106,Health,service,FALSE,FALSE,
,Alternative Medicine,106-06-01,106-06,Medical Care,service,FALSE,FALSE,
,Assistive Technology,106-06-02,106-06,Medical Care,service,FALSE,FALSE,
,Birth Control,106-06-03,106-06,Medical Care,service,FALSE,FALSE,
,Checkup & Test,106-06-04,106-06,Medical Care,service,FALSE,FALSE,
,Disability Screening,106-06-04-01,106-06-04,Checkup & Test,service,FALSE,FALSE,
,Disease Screening,106-06-04-02,106-06-04,Checkup & Test,service,FALSE,FALSE,
,Hearing Tests,106-06-04-03,106-06-04,Checkup & Test,service,FALSE,FALSE,
,Mental Health Evaluation,106-06-04-04,106-06-04,Checkup & Test,service,FALSE,FALSE,
,Pregnancy Tests,106-06-04-05,106-06-04,Checkup & Test,service,FALSE,FALSE,
,Vision Tests,106-06-04-06,106-06-04,Checkup & Test,service,FALSE,FALSE,
,Exercise & Fitness,106-06-05,106-06,Medical Care,service,FALSE,FALSE,
,Fertility,106-06-06,106-06,Medical Care,service,FALSE,FALSE,
,Maternity Care,106-06-07,106-06,Medical Care,service,FALSE,FALSE,
,Skilled Nursing,106-06-08,106-06,Medical Care,service,FALSE,FALSE,
,Mental Health,106-07,106,Health,service,TRUE,TRUE,1100
,Treatment Setting,106-07-01,106-07,Mental Health,service,TRUE,FALSE,
,Outpatient Treatment,106-07-01-01,106-07-01,Treatment Setting,service,TRUE,FALSE,
,Integrated behavioral health programs,106-07-01-01-01,106-07-01-01,Outpatient Treatment,service,TRUE,FALSE,
,Mobile treatment services,106-07-01-01-02,106-07-01-01,Outpatient Treatment,service,TRUE,FALSE,
,Outpatient mental health centers,106-07-01-01-03,106-07-01-01,Outpatient Treatment,service,TRUE,FALSE,
,Psychiatric day treatment programs,106-07-01-01-04,106-07-01-01,Outpatient Treatment,service,TRUE,FALSE,
,Psychiatric rehabilitation program for adults,106-07-01-01-05,106-07-01-01,Outpatient Treatment,service,TRUE,FALSE,
,Intensive Outpatient Treatment,106-07-01-02,106-07-01,Treatment Setting,service,TRUE,FALSE,
,Intensive outpatient programs,106-07-01-02-01,106-07-01-02,Intensive Outpatient Treatment,service,TRUE,FALSE,
,Partial hospital programs,106-07-01-02-02,106-07-01-02,Intensive Outpatient Treatment,service,TRUE,FALSE,
,Hospital Treatment,106-07-01-03,106-07-01,Treatment Setting,service,TRUE,FALSE,
,Observation service,106-07-01-03-01,106-07-01-03,Hospital Treatment,service,TRUE,FALSE,
,Acute inpatient psychiatric hospitalization,106-07-01-03-02,106-07-01-03,Hospital Treatment,service,TRUE,FALSE,
,Residential Treatment,106-07-01-04,106-07-01,Treatment Setting,service,TRUE,FALSE,
,Group homes for adults with mental illness,106-07-01-04-01,106-07-01-04,Residential Treatment,service,TRUE,FALSE,
,Residential crisis services,106-07-01-04-02,106-07-01-04,Residential Treatment,service,TRUE,FALSE,
,Respite care services,106-07-01-04-03,106-07-01-04,Residential Treatment,service,TRUE,FALSE,
,Pharmacotherapies Available,106-07-02,106-07,Mental Health,service,FALSE,FALSE,
,Postnatal Care,106-08,106,Health,service,FALSE,FALSE,
,Prevent & Treat,106-09,106,Health,service,FALSE,FALSE,
,Counseling,106-09-01,106-09,Prevent & Treat,service,FALSE,FALSE,
,HIV Treatment,106-09-02,106-09,Prevent & Treat,service,FALSE,FALSE,
,Pain Management,106-09-03,106-09,Prevent & Treat,service,FALSE,FALSE,
,Disease Management,106-09-04,106-09,Prevent & Treat,service,FALSE,FALSE,
,Nursing Home,106-09-05,106-09,Prevent & Treat,service,FALSE,FALSE,
,Physical Therapy,106-09-06,106-09,Prevent & Treat,service,FALSE,FALSE,
,Specialized Therapy,106-09-07,106-09,Prevent & Treat,service,FALSE,FALSE,
,Vaccinations,106-09-08,106-09,Prevent & Treat,service,FALSE,FALSE,
,In-Home Support,106-09-09,106-09,Prevent & Treat,service,FALSE,FALSE,
,Residential Treatment,106-09-10,106-09,Prevent & Treat,service,TRUE,FALSE,
,Outpatient Treatment,106-09-11,106-09,Prevent & Treat,service,TRUE,FALSE,
,Hospital Treatment,106-09-12,106-09,Prevent & Treat,service,TRUE,FALSE,
,Primary Care,106-10,106,Health,service,FALSE,FALSE,
,Drug Testing,106-11,106,Health,service,FALSE,FALSE,
,Drug Testing-First Test,106-11-01,106-11,Drug Testing,service,FALSE,FALSE,
,Drug Testing-Confirmatory Test,106-11-02,106-11,Drug Testing,service,FALSE,FALSE,
,Drug Testing-Mobile Unit,106-11-03,106-11,Drug Testing,service,FALSE,FALSE,
,Drug Testing-Failed Attempt,106-11-04,106-11,Drug Testing,service,FALSE,FALSE,
,Drug Testing-Interpreter Services,106-11-05,106-11,Drug Testing,service,FALSE,FALSE,
,Vision Care,106-12,106,Health,service,FALSE,FALSE,
,Psychiatric Emergency Services,106-13,106,Health,service,FALSE,FALSE,
,Money,107,,,service,FALSE,FALSE,
,Financial Assistance,107-01,107,Money,service,FALSE,FALSE,
,Help Pay for Childcare,107-01-01,107-01,Financial Assistance,service,FALSE,FALSE,
,Help Pay for Food,107-01-02,107-01,Financial Assistance,service,FALSE,FALSE,
,Food Benefits,107-01-02-01,107-01-02,Help Pay for Food,service,FALSE,FALSE,
,Help Pay for Healthcare,107-01-03,107-01,Financial Assistance,service,FALSE,FALSE,
,Disability Benefits,107-01-03-01,107-01-03,Help Pay for Healthcare,service,FALSE,FALSE,
,Discounted Healthcare,107-01-03-02,107-01-03,Help Pay for Healthcare,service,FALSE,FALSE,
,Health Insurance,107-01-03-03,107-01-03,Help Pay for Healthcare,service,FALSE,FALSE,
,Medical Supplies,107-01-03-04,107-01-03,Help Pay for Healthcare,service,FALSE,FALSE,
,Prosthesis,107-01-03-04-01,107-01-03-04,Medical Supplies,service,FALSE,FALSE,
,Durable Medical Equipment,107-01-03-04-02,107-01-03-04,Medical Supplies,service,FALSE,FALSE,
,Prescription Assistance,107-01-03-05,107-01-03,Help Pay for Healthcare,service,FALSE,FALSE,
,Transportation for Healthcare,107-01-03-06,107-01-03,Help Pay for Healthcare,service,FALSE,FALSE,
,Help Pay for Housing,107-01-04,107-01,Financial Assistance,service,FALSE,FALSE,
,Help Pay for Utilities,107-01-04-01,107-01-04,Help Pay for Housing,service,FALSE,FALSE,
,Home & Renters Insurance,107-01-04-02,107-01-04,Help Pay for Housing,service,FALSE,FALSE,
,Maintenance & Repairs,107-01-04-03,107-01-04,Help Pay for Housing,service,FALSE,FALSE,
,Help Pay for School,107-01-05,107-01,Financial Assistance,service,FALSE,FALSE,
,Books,107-01-05-01,107-01-05,Help Pay for School,service,FALSE,FALSE,
,Clothes for School,107-01-05-02,107-01-05,Help Pay for School,service,FALSE,FALSE,
,Laundry for Students,107-01-05-03,107-01-05,Help Pay for School,service,FALSE,FALSE,
,Financial Aid & Loans,107-01-05-04,107-01-05,Help Pay for School,service,FALSE,FALSE,
,Transportation for School,107-01-05-05,107-01-05,Help Pay for School,service,FALSE,FALSE,
,Supplies for School,107-01-05-06,107-01-05,Help Pay for School,service,FALSE,FALSE,
,Help Pay for Transit,107-01-06,107-01,Financial Assistance,service,FALSE,FALSE,
,Help Pay for Gas,107-01-06-01,107-01-06,Help Pay for Transit,service,FALSE,FALSE,
,Bus Passes,107-01-06-02,107-01-06,Help Pay for Transit,service,FALSE,FALSE,
,Help Pay for Car,107-01-06-03,107-01-06,Help Pay for Transit,service,FALSE,FALSE,
,Help Pay for Work Expenses,107-01-07,107-01,Financial Assistance,service,FALSE,FALSE,
,Government Benefits,107-02,107,Money,service,FALSE,FALSE,
,Disability Benefits,107-02-01,107-02,Government Benefits,service,FALSE,FALSE,
,Food Benefits,107-02-02,107-02,Government Benefits,service,FALSE,FALSE,
,Retirement Benefits,107-02-03,107-02,Government Benefits,service,FALSE,FALSE,
,Understand Government Programs,107-02-04,107-02,Government Benefits,service,FALSE,FALSE,
,Unemployment Benefits,107-02-05,107-02,Government Benefits,service,FALSE,FALSE,
,Financial Education,107-03,107,Money,service,FALSE,FALSE,
,Credit Counseling,107-03-01,107-03,Financial Education,service,FALSE,FALSE,
,Foreclosure Counseling,107-03-02,107-03,Financial Education,service,FALSE,FALSE,
,Homebuyer Education,107-03-03,107-03,Financial Education,service,FALSE,FALSE,
,Savings Program,107-03-04,107-03,Financial Education,service,FALSE,FALSE,
,Insurance,107-04,107,Money,service,FALSE,FALSE,
,Health Insurance,107-04-01,107-04,Insurance,service,FALSE,FALSE,
,Home & Renters Insurance,107-04-02,107-04,Insurance,service,FALSE,FALSE,
,Tax Preparation,107-05,107,Money,service,FALSE,FALSE,
,Care,108,,,service,FALSE,FALSE,
,Adoption & Foster Care,108-01,108,Care,service,FALSE,FALSE,
,Adoption & Foster Placement,108-01-01,108-01,Adoption & Foster Care,service,FALSE,FALSE,
,Adoption & Foster Parenting,108-01-02,108-01,Adoption & Foster Care,service,FALSE,FALSE,
,Adoption Planning,108-01-03,108-01,Adoption & Foster Care,service,FALSE,FALSE,
,Post-Adoption Support,108-01-04,108-01,Adoption & Foster Care,service,FALSE,FALSE,
,Animal Welfare,108-02,108,Care,service,FALSE,FALSE,
,Community Support Services,108-03,108,Care,service,FALSE,FALSE,
,Computer or Internet Access,108-03-01,108-03,Community Support Services,service,FALSE,FALSE,
,Daytime Care,108-04,108,Care,service,FALSE,FALSE,
,Adult Daycare,108-04-01,108-04,Daytime Care,service,FALSE,FALSE,
,Afterschool Care,108-04-02,108-04,Daytime Care,service,FALSE,FALSE,
,Before School Care,108-04-03,108-04,Daytime Care,service,FALSE,FALSE,
,Childcare,108-04-04,108-04,Daytime Care,service,FALSE,FALSE,
,Help Find Childcare,108-04-04-01,108-04-04,Childcare,service,FALSE,FALSE,
,Help Pay for Childcare,108-04-04-02,108-04-04,Childcare,service,FALSE,FALSE,
,Day Camp,108-04-05,108-04,Daytime Care,service,FALSE,FALSE,
,Preschool,108-04-06,108-04,Daytime Care,service,FALSE,FALSE,
,Recreation,108-04-07,108-04,Daytime Care,service,FALSE,FALSE,
,Relief for Caregivers,108-04-08,108-04,Daytime Care,service,FALSE,FALSE,
,Childcare,108-05,108,Care,service,FALSE,FALSE,
,Bereavement,108-05-01,108-05,Childcare,service,FALSE,FALSE,
,Burial & Funeral Help,108-05-02,108-05,Childcare,service,FALSE,FALSE,
,Hospice,108-05-03,108-05,Childcare,service,FALSE,FALSE,
,Pain Management,108-05-04,108-05,Childcare,service,FALSE,FALSE,
,Navigating the System,108-06,108,Care,service,FALSE,FALSE,
,Help Fill out Forms,108-06-01,108-06,Navigating the System,service,FALSE,FALSE,
,Help Find Childcare,108-06-02,108-06,Navigating the System,service,FALSE,FALSE,
,Help Find Housing,108-06-03,108-06,Navigating the System,service,FALSE,FALSE,
,Help Find School,108-06-04,108-06,Navigating the System,service,FALSE,FALSE,
,Help Find Work,108-06-05,108-06,Navigating the System,service,FALSE,FALSE,
,Physical Safety,108-07,108,Care,service,FALSE,FALSE,
,Disaster Response,108-07-01,108-07,Physical Safety,service,FALSE,FALSE,
,Emergency Food,108-07-02,108-07,Physical Safety,service,FALSE,FALSE,
,Temporary Shelter,108-07-03,108-07,Physical Safety,service,FALSE,FALSE,
,Weather Relief,108-07-03-01,108-07-03,Temporary Shelter,service,FALSE,FALSE,
,Help Find Missing Persons,108-07-04,108-07,Physical Safety,service,FALSE,FALSE,
,Immediate Safety,108-07-05,108-07,Physical Safety,service,FALSE,FALSE,
,Help Escape Violence,108-07-05-01,108-07-05,Immediate Safety,service,FALSE,FALSE,
,Safe Housing,108-07-05-02,108-07-05,Immediate Safety,service,FALSE,FALSE,
,Residential Care,108-08,108,Care,service,FALSE,FALSE,
,Assisted Living,108-08-01,108-08,Residential Care,service,FALSE,FALSE,
,Residential Treatment,108-08-02,108-08,Residential Care,service,TRUE,FALSE,
,Nursing Home,108-08-03,108-08,Residential Care,service,FALSE,FALSE,
,Overnight Camp,108-08-04,108-08,Residential Care,service,FALSE,FALSE,
,Support Network,108-09,108,Care,service,FALSE,FALSE,
,Counseling,108-09-01,108-09,Support Network,service,FALSE,FALSE,
,Help Hotlines,108-09-02,108-09,Support Network,service,FALSE,FALSE,
,Home Visiting,108-09-03,108-09,Support Network,service,FALSE,FALSE,
,In-Home Support,108-09-04,108-09,Support Network,service,FALSE,FALSE,
,Mentoring,108-09-05,108-09,Support Network,service,FALSE,FALSE,
,One-on-One Support,108-09-06,108-09,Support Network,service,FALSE,FALSE,
,Peer Support,108-09-07,108-09,Support Network,service,FALSE,FALSE,
,Spiritual Support,108-09-08,108-09,Support Network,service,FALSE,FALSE,
,Support Groups,108-09-09,108-09,Support Network,service,FALSE,FALSE,
,12-Step,108-09-09-01,108-09-09,Support Groups,service,FALSE,FALSE,
,Bereavement,108-09-09-02,108-09-09,Support Groups,service,FALSE,FALSE,
,Parenting Education,108-09-09-03,108-09-09,Support Groups,service,FALSE,FALSE,
,Virtual Support,108-09-10,108-09,Support Network,service,FALSE,FALSE,
,Education,109,,,service,FALSE,FALSE,
,Help Find School,109-01,109,Education,service,FALSE,FALSE,
,Help Pay for School,109-02,109,Education,service,FALSE,FALSE,
,Books,109-02-01,109-02,Help Pay for School,service,FALSE,FALSE,
,Clothes for School,109-02-03,109-02,Help Pay for School,service,FALSE,FALSE,
,Financial Aid & Loans,109-02-04,109-02,Help Pay for School,service,FALSE,FALSE,
,Transportation for School,109-02-05,109-02,Help Pay for School,service,FALSE,FALSE,
,Supplies for School,109-02-06,109-02,Help Pay for School,service,FALSE,FALSE,
,More Education,109-03,109,Education,service,FALSE,FALSE,
,Alternative Education,109-03-01,109-03,More Education,service,FALSE,FALSE,
,Disaster Preparedness & Response,109-03-02,109-03,More Education,service,FALSE,FALSE,
,English as a Second Language (ESL),109-03-03,109-03,More Education,service,FALSE,FALSE,
,Financial Education,109-03-04,109-03,More Education,service,FALSE,FALSE,
,Credit Counseling,109-03-04-01,109-03-04,Financial Education,service,FALSE,FALSE,
,Foreclosure Counseling,109-03-04-02,109-03-04,Financial Education,service,FALSE,FALSE,
,Homebuyer Education,109-03-04-03,109-03-04,Financial Education,service,FALSE,FALSE,
,Foreign Languages,109-03-05,109-03,More Education,service,FALSE,FALSE,
,GED/High-School Equivalency,109-03-06,109-03,More Education,service,FALSE,FALSE,
,Health Education,109-03-07,109-03,More Education,service,FALSE,FALSE,
,Disease Management,109-03-07-01,109-03-07,Health Education,service,FALSE,FALSE,
,Family Planning,109-03-07-02,109-03-07,Health Education,service,FALSE,FALSE,
,Nutrition Education,109-03-07-03,109-03-07,Health Education,service,FALSE,FALSE,
,Parenting Education,109-03-07-04,109-03-07,Health Education,service,FALSE,FALSE,
,Sex Education,109-03-07-05,109-03-07,Health Education,service,FALSE,FALSE,
,Understand Disability,109-03-07-06,109-03-07,Health Education,service,FALSE,FALSE,
,Understand Mental Health,109-03-07-07,109-03-07,Health Education,service,FALSE,FALSE,
,Supported Employment,109-03-08,109-03,More Education,service,FALSE,FALSE,
,Special Education,109-03-09,109-03,More Education,service,FALSE,FALSE,
,Tutoring,109-03-10,109-03,More Education,service,FALSE,FALSE,
,Preschool,109-04,109,Education,service,FALSE,FALSE,
,Screening & Exams,109-05,109,Education,service,FALSE,FALSE,
,Citizenship & Immigration,109-05-01,109-05,Screening & Exams,service,FALSE,FALSE,
,GED/High-School Equivalency,109-05-02,109-05,Screening & Exams,service,FALSE,FALSE,
,English as a Second Language (ESL),109-05-03,109-05,Screening & Exams,service,FALSE,FALSE,
,Skills & Training,109-06,109,Education,service,FALSE,FALSE,
,Basic Literacy,109-06-01,109-06,Skills & Training,service,FALSE,FALSE,
,Computer Class,109-06-02,109-06,Skills & Training,service,FALSE,FALSE,
,Daily Life Skills,109-06-03,109-06,Skills & Training,service,FALSE,FALSE,
,Interview Training,109-06-04,109-06,Skills & Training,service,FALSE,FALSE,
