current_parent_categories,name,id,location_name,new_category,new_subcategory,clear_categories
"Emergency, Money",One Fair Emergency Fund,145237,One Fair Emergency Fund,Money,Emergency Cash/Grants,
"Emergency, Money, Languages",Community Resources (Recursos de la Comunidad),145140,Maryland Coalition Against Sexual Assault (SEGURIDAD - Se habla español),Safety,Adults,
"Emergency, Substance Use Treatment Preferences","Baltimore City DSS, Adult Protective Services",141278,"Baltimore City DSS, Adult Protective Services",Safety,Children,
"Emergency, Survivors",Supervised child access services (Servicios supervisados ​​de acceso infantil),144846,The Baltimore City Visitation Center (SEGURIDAD-- Se Habla Español),Safety,Children,
"Emergency, Transit",Transit Service,144889,MTA MobilityLink (Paratransit) Program,Transportation,Reduced Cost/ Free Transportation,
"Emergency, Work",Job Training (STRIVE),144858,Center for Urban Families,Employment,Job Training,
Food,Produce Boxes,145346,Lakeland Elementary/Middle School,,,
Food,Produce Boxes,145347,Fallstaff Elementary/Middle School,,,
Food,Produce Boxes,145350,John Ruhrah Elementary/Middle School,,,
Food,Produce Boxes,145348,Historic Cherry Hill Elementary/Middle School,,,
Food,Produce Boxes,145349,Maree G. Farring Elementary/Middle School,,,
Food,Produce Boxes,145351,The Belair Edison School,,,
Food,Procude Boxes,145352,Arlington Elementary School,,,
Food,Produce Boxes,145360,Thomas Jefferson Elementary/Middle School,,,
Food,Produce Boxes,145353,Leith Walk Elementary/Middle School,,,
Food,Produce Boxes,145354,Forest Park High School,,,
Food,Produce Boxes,145355,Paul Laurence Dunbar High School,,,
Food,Produce Boxes,145363,Mergenthaler Vocational-Technical Highschool,,,
Food,Produce Boxes,145356,Furman Templeton Elementary School,,,
Food,Produce Boxes,145357,Henderson Hopkins,,,
Food,Produce Boxes,145358,Beechfield Elementary/Middle School,,,
Food,Produce Boxes,145359,Ft Worthington Elementary/Middle School,,,
Food,Produce Boxes,145364,Dorothy I. Height Elementary,,,
Food,Produce Boxes,145365,Sinclair Lane Elementary,,,
Food,Produce Boxes,145366,Holabird Academy,,,
Food,Produce Boxes,145367,Mary E. Rodman Elementary,,,
Food,Produce Boxes,145368,Glenmount Elementary/Middle School,,,
Food,Produce Boxes,145369,Commodore John Rodgers Elementary/Middle School,,,
Food,Produce Boxes,145370,Franklin Square Elementary,,,
Food,Produce Boxes,145361,Gwynns Falls Elementary School,,,
Food,Produce Boxes,145362,Alexander Hamilton Elementary School,,,
Food,Produce Boxes,145372,Solo Gibbs Rec Center,,,
Food,Produce Boxes,145389,Centro SOL (Se Habla Español),,,
Food,Produce Boxes,145371,Walter P Carter Elementary/Middle,,,
Food,Produce Boxes,145374,Men and Families Center,,,
Food,Produce Boxes,145373,Barnes Memorial Church,,,
Food,Produce Boxes,145376,Monarch Academy,,,
Food,Produce Boxes,145387,The Well,,,
Food,Produce Boxes,145375,Victorious Ministries,,,
Food,Produce Boxes,145377,Carroll Cook Rec Center,,,
Food,Produce Boxes,145388,Westport Academy,,,
Food,City Produce Boxes,145378,Greenmount Rec Center,,,
Food,Food Pantry,144992,Project PLASE,,,
Food,Produce Boxes,145380,Herring Run Rec Center,,,
Food,Produce Boxes,145382,Virginia S Baker Rec Center,,,
Food,Produce Boxes,145386,Plantation Park Heights,,,
Food,Produce Boxes,145379,Rita Church Rec Center,,,
Food,Produce Boxes,145381,Madison Square Rec Center,,,
Food,Produce Boxes,145383,Bentalou Rec Center,,,
Food,Produce Boxes,145384,Harlem Park Rec Center,,,
Food,Produce Boxes,145385,CC Jackson Rec Center,,,
Food,Produce Boxes,145391,Haven City Church/Compassion Center,,,
Food,Produce Boxes,145392,Kreative Influence,,,
Food,Produce Boxes,145394,Stillmeadow Community Fellowship Church,,,
Food,Produce Boxes,145395,Arch Social Club,,,
Food,Produce Boxes,145390,The Pillar Worship Center,,,
Food,Produce Boxes,145396,Abundant Family Life Ministries,,,
Food,Produce Boxes,145397,CASA de Maryland,,,
Food,Grab & Go Meals and Groceries,145111,"Harbel Community Organization, Inc.",,,
Food,Produce Boxes,145398,Outcast-Beacon Resource Center,,,
Food,Grocery Boxes,145409,Kingdom Life Church,,,
Food,Grocery Boxes,145410,Koinonia Baptist Church,,,
Food,"Baltimore City DSS, Food & Nutrition Services (Food Stamps)",141310,"Baltimore City DSS, Food & Nutrition Services (Food Stamps)",,,
Food,Dundalk Church of The Brethren Pantry,140126,Dundalk Church of The Brethren Pantry,,,
Food,Food Pantry,145399,Central Learning Center,,,
Food,Food Pantry,145400,Center for African American Male Engagement,,,
Food,Food Pantry,145401,901 Arts,,,
Food,Meal Site,145402,Solo Gibbs Rec Center,,,
Food,Grocery Boxes,145403,Another Life Saved,,,
Food,Mixed Boxes,144838,Concord Baptist Church,,,
Food,Grocery Boxes,145404,Beth Am Synagogue,,,
Food,Grocery Boxes,145406,City Seeds,,,
Food,Grocery Boxes,145405,Central Baptist Church,,,
Food,Grocery Boxes,145407,Franciscan Center,,,
Food,Food Pick Up (Distribución de Comida),145008,Fishes and Loaves Food Pantry (Se habla español),,,
Food,Grocery Boxes,145408,Gospel Tabernacle Baptist Church,,,
Food,Donald Bentley Food Pantry,142750,Donald Bentley Food Pantry,,,
Food,Produce Boxes,145393,First Mount Calvary Baptist Church,,,
Food,Grocery Boxes,145416,Ruth Kirk,,,
Food,Mixed Boxes,145411,McCulloh Homes,,,
Food,Grocery Boxes,145421,Zion Baptist Church,,,
Food,Grocery Boxes,145419,South Church,,,
Food,Grocery Boxes,145412,Mix Church,,,
Food,Grocery Boxes,145420,Union Baptist Church,,,
Food,Grocery Boxes,145413,Mount Moriah Baptist Church,,,
Food,Grocery Boxes,145414,Mount Pleasant Development Corporation,,,
Food,Grocery Boxes,145415,Mount Sinai Baptist Church,,,
Food,Grocery Boxes,145418,Sacred Heart of Jesus,,,
Food,Grocery Boxes,145424,The Food Project Baltimore,,,
Food,Grocery Boxes,145422,First Mount Calvary Baptist Church,,,
Food,Grocery Boxes,145423,"The Door, Inc.",,,
Food,Grocery Boxes,145425,Westport Academy,,,
Food,Grocery Boxes,145426,Historic Cherry Hill Elementary/Middle School,,,
Food,"Groceries, Technology, and Other resources",144855,Thread,,,
Food,Meal Pantry,145427,Historic Cherry Hill Elementary/Middle School,,,
Food,Grocery Boxes,145428,William Paca Elementary School,,,
Food,Meal Pantry,145429,William Paca Elementary School,,,
Food,Food Pantry,145435,Arundel Elementary School,,,
Food,Food Pantry,145431,Abbottston Elementary School,,,
Food,Food Pantry,145432,AFYA Public Charter School,,,
Food,My Groceries to Go!,145151,My Groceries to Go! (Commodity Supplemental Food Program),,,
Food,Food Pantry,145433,Alexander Hamilton Elementary School,,,
Food,Food Pantry,145434,Arlington Elementary School,,,
Food,Food Pantry,145436,Baltimore International Academy,,,
Food,Food,144888,COVID-19 TRANSPORTATION/FOOD -- CountyRide,,,
Food,Emergency Meal Sites for Children and Youth,145154,Family League,,,
Food,Free Grab-N-Go Meals,145155,Rec Center Meal Sites and Mobile Meal Sites,,,
Food,Food,144890,Franciscan Center,,,
Food,Food Pantry,144899,GEDCO CARES,,,
Food,Food Pantry,145071,Citizens Policing Project / St. Peter Claver Church,,,
Food,Food Pantry,145075,City of Refuge,,,
Food,Food Delivery (Entrega de alimentos),145082,Bmore Community Food (Comida comunitaria Bmore),,,
Food,Free Food (Comida Gratuita),145087,Umar Boxing (COMIDA),,,
Food,Free Food (Comida gratis),145080,Baltimore Free Farm (COMIDA),,,
Food,Helping Hands Food Pantry,140906,Helping Hands Food Pantry,,,
Food,St. Peter Clever Church Pantry and lunch,145299,Citizens Policing Project / St. Peter Claver Church,,,
Food,Produce Boxes,145336,Nate Tatum Community Center,,,
Food,Produce Boxes,145341,Let's Thrive Baltimore,,,
Food,Produce Boxes,145337,City of Life Ministries,,,
Food,Produce Boxes (Cajas de productos agrícolas),145081,Bmore Community Food (Comida comunitaria Bmore),,,
Food,Produce Boxes,145339,Liberty Village Project,,,
Food,Produce Boxes,145340,"The Door, Inc.",,,
Food,Produce Boxes,145338,Charm City Land Trust,,,
Food,Produce Boxes,145342,We Our Us,,,
Food,Cockeysville Food Pantry,140074,Cockeysville Food Pantry,,,
Food,Produce Boxes,145343,Creative City Public Charter School,,,
Food,Produce Boxes,145344,City Produce Boxes,,,
Food,Produce Boxes,145345,Zion Hill Baptist Church,,,
Food,St. Paul Apostolic Holiness Pantry,140628,St. Paul Apostolic Holiness Pantry,,,
Food,"Whitestone Baptist Church, Food Pantry",140725,"Whitestone Baptist Church, Food Pantry",,,
Food,Food Buying Club,140884,Christopher Place Employment Academy,,,
Food,Our Daily Bread Meal Services,140985,Christopher Place Employment Academy,,,
Food,Waters Church Soup Kitchen,140717,Waters Church Soup Kitchen,,,
Food,First Apostolic Faith Church Pantry,140164,First Apostolic Faith Church Pantry,,,
Food,Food Pantry,144446,Academy for College and Career Exploration,,,
Food,Food Pantry,144498,Adams Chapel AME (Food Pantry),,,
Food,Food Assistance,144502,40 West Assistance and Referral Center,,,
Food,First Baptist Church Soup Kitchen,140166,First Baptist Church Food Pantry,,,
Food,All Saints Food Pantry,139851,New All Saints Roman Catholic Church Food Pantry,,,
"Food, Age Group",Free Food (Comida gratis),144810,Dovecote Cafe (COMIDA),Food,Prepared Meals,
"Food, Age Group",Food Pantry,145119,The Compassion Center,Food,Food Pantry ,
"Food, Age Group",Prepared Meals,145125,JOY Baltimore,Food,Prepared Meals,
"Food, Age Group",Breakfast (Desayuno),145126,Manna House,Food,Prepared Meals,
"Food, Age Group",Food Pantry,144807,Bridgeway Community Cupboard,Food,Food Pantry ,
"Food, Age Group",Food Pantry,144808,Reistertown UMC Food Pantry,Food,Food Pantry ,
"Food, Age Group",Free Food,144812,Land of Kush,Food,Food Pantry ,
"Food, Age Group",Free Food,144811,COVID-19 FOOD -- Baltimore City Food Map,Food,Food Pantry ,
"Food, Age Group",Hot Meals Program,144734,Our Daily Bread,Food,Prepared Meals,
"Food, Age Group",Free Meals,145009,COVID-19 FOOD -- Highlandtown Elementary/Middle,Food,Prepared Meals,
"Food, Age Group",Free Meals,145013,COVID-19 FOOD -- Liberty Elementary School,Food,Prepared Meals,
"Food, Age Group",Free Meals,144878,COVID-19 FOOD -- Harford Heights Elementary,Food,Prepared Meals,
"Food, Age Group",Free Meals,144874,COVID-19 FOOD -- Walter P. Carter Elementary/Middle,Food,Prepared Meals,
"Food, Age Group",Food Pantry,140361,Ark Church Food Pantry,Food,Food Pantry ,
"Food, Age Group",Free Meals,144875,COVID-19 FOOD -- Baltimore Montessori Public Charter,Food,Prepared Meals,
"Food, Age Group",Free Meals,144873,COVID-19 FOOD -- Fort Washington Elementary/Middle,Food,Prepared Meals,
"Food, Age Group",Free Meals,144872,COVID-19 FOOD -- Edgewood Elementary,Food,Prepared Meals,
"Food, Age Group",Free Meals,144871,COVID-19 FOOD -- Vanguard Collegiate Middle,Food,Prepared Meals,
"Food, Age Group",Free Meals,144879,COVID-19 FOOD -- Sarah M. Roach Elementary,Food,Prepared Meals,
"Food, Age Group",Free Meals,144877,COVID-19 FOOD -- Southwest Baltimore Charter,Food,Prepared Meals,
"Food, Age Group",Free Meals,144876,COVID-19 FOOD -- Henderson Hopkins,Food,Prepared Meals,
"Food, Age Group",Lunch + Snack,145077,City of Refuge,Food,Prepared Meals,
"Food, Age Group","KIDS ONLY Breakfast, Lunch, Dinner, and a Snack",145076,City of Refuge,Food,Prepared Meals,
"Food, Age Group",Baby Pantry,145073,City of Refuge,Food,Food Pantry ,
"Food, Age Group",Food Service ( Servicio de Comida),145068,Breath of God Lutheran Church (Se habla español),Food,Food Pantry ,
"Food, Age Group",Free Food,144813,Grace Baptist Church,Food,Food Pantry ,
"Food, Age Group",Food Pantry Pickup (despensa de alimentos),145089,Loch Raven United Methodist Church (Iglesia Metodista Unida Loch Raven),Food,Food Pantry ,
"Food, Age Group",Free Meals,145110,"COVID-19 FOOD - Langston Hughes Community, Business and Resource Center",Food,Prepared Meals,
"Food, Age Group",Food Pantry,144680,Armistead Gardens Elementary and Middle School,Food,Food Pantry ,
"Food, Age Group, Armed Forces, Housing",Drop in Facility,144717,Maryland Center for Veterans Education and Training,,,clear
"Food, Age Group, Disability",Grocery Delivery,145113,"COVID-19 FOOD - Langston Hughes Community, Business and Resource Center",Food,Food Delivery,
"Food, Age Group, Income",Food Pantry,144805,"Community Crisis Center, Inc.",Food,Food Pantry ,
"Food, Care, Education, Work",Waxter Center for Senior Citizens,141065,"Baltimore City Commission on Aging & Retire., Adult Day Care",,,clear
"Food, Care, Education, Work, Legal, Age Group","Baltimore City Commission on Aging & Retirement Education, CARE",140079,"Baltimore City Commission on Aging & Retire., Ombudsman Program",,,clear
"Food, Documents Needed",Tuesday and Wednesday food pantry - BY APPOINTMENT ONLY (Martes y Miercoles - Despensa de Alimentos - Con cita previa),145066,Bea Gaddy Family Center,Food,Food Pantry ,
"Food, Education, Age Group",Simple Cooking with Heart Kitchen,144666,Simple Cooking with Heart Kitchen,,,clear
"Food, Education, Age Group",Simple Cooking with Heart Kitchen,144667,American Heart Association,,,clear
"Food, Education, Work, Age Group, Substance Use Treatment Preferences","COIL: Communities Organized to Improve Life, Inc.",140080,"COIL: Communities Organized to Improve Life, Inc.",Substance Use,Treatment Centers,
"Food, Family Friendly",Food (Comida),144881,Centro SOL (Se Habla Español),Food,Food Pantry ,
"Food, Goods",Hot Meals and Other Essentials,145114,God is King Center,Food,Prepared Meals,
"Food, Goods",Mattie B. Uzzle Outreach Center,140968,Mattie B. Uzzle Outreach Center,,,clear
"Food, Goods",Community Pantry (Despensa Comunitaria),145078,Community Pantry at The Dog Chef Cafe (Despensa Comunitaria en The Dog Chef Cafe),Food,Food Pantry ,
