id,location_id,attention,address_1,address_2,city,state_province,postal_code,country
24,139762,"Advocates For Survivors Of Torture And Trauma Karen Hanscom, Executive Director",431 East Belvedere Avenue,,Baltimore,MD,21212,US
25,139131,"Baltimore City Health Dept. Francine Childs, Assistant Commissioner","Nursing, Adult And Community Health","210 Guilford Avenue, 3Rd Floor",Baltimore,MD,21202,US
26,139562,"Service Coordination, Inc.Balt. Co-Woodlawn Rachel Sye, Director",7001 Johnnycake Road,Suite 204,Woodlawn,MD,21244,US
27,137945,"Fellowship House, Inc.Petranda Alevrofas, Director                 ",707 St. Paul Street,,Baltimore,MD,21202,US
28,138179,"Maryland Volunteer Lawyers Service, Winifred C. Borden, Executive Director",1 N. Charles Street,Suite 222,Baltimore,MD,21201-3701,US
29,138493,"Safe Haven Ray Smith, Coordinator",4101 1/2 Old York Road,,Baltimore,MD,21218,US
30,137651,"Aa Co. Ca Partnership, Case Management Anne Bowie, Director Of Empowerment Services",P.O. Box 1951,,Annapolis,MD,21401-1951,US
31,138404,"St. Joseph Medical Center John K. Tolmie, Ceo",Psychiatric Services,7601 Olser Drive,Towson,MD,21204,US
32,137696,"Baltimore County Dss, General Information Timothy W. Griffith, Director",6401 York Road,,Baltimore,MD,21212,US
33,137683,"Baltimore HousingPaul T. Graziano, Commissioner               ",417 E. Fayette St.,Suite 1346,Baltimore,MD,21202,US
34,139808,"Living Legacy Foundation, TheJim Ford, Director of Communications         ",1730 Twin Springs Road,Suite 200,Halethorpe,MD,21227,US
35,138741,"Maryland Psychological Association Judy Devito, Executive Officer",10025 Governor Warfield Parkway,Suite 102,Columbia,MD,21044,US
36,138152,"Walter P. Carter, Fayette Street Clinic Marsha Gorth, Clinic Coordinator",630 W Fayette Street,,Baltimore,MD,21201-1585,US
37,138706,"Bradford Oaks Nursing & Rehabilitation Center Christina Macmurphy, Lpn, Admissions Director",7520 Surratts Road,,Clinton,MD,20735,US
38,138934,Code Blue Shelter Mildred Monroe School,1634 Guilford Ave,,Baltimore,MD,21202,US
39,138803,"Senior Connections William Knott, Owner/President",11299 Owings Mills Blvd.,Suite 204,Owings Mills,MD,21117,US
40,137996,"Glenwood Life Counseling Center Lillian Donnard, Executive Director",516 Glenwood Avenue,,Baltimore,MD,21212,US
41,138171,"Maryland State Dept. Of EducationNancy Grasmick, State Superintendant         ",200 W. Baltimore Street,,Baltimore,MD,21201,US
42,138916,"Build Rob English, Lead Organizer",2114 N. Charles Street,Suite 100,Baltimore,MD,21218,US
43,139330,"Victoire Health Services, Inc.Taiwo Brown, President                       ",6211 Harford Rd.,,Baltimore,MD,21214,US
44,138159,"Infants And Toddlers Program Paula Boykin, Supervisor",Baltimore County,6901 N. Charles Street,Towson,MD,21204,US
45,138872,"HadassahAileen Bormel, President                     ",3723 Old Court Road,Suite 205,Baltimore,MD,21208,US
46,139760,"Baltimore County Local Management BoardRoe Davis, Executive Director                ",6401 York Road,,Baltimore,MD,21212,US
47,137718,"Tel-Life/Link-Up America Beverly Session, Supervisor",Verizon - Administrative Services,2510 Riva Road,Annapolis,MD,21401,US
48,137793,"Villa Maria Behavioral Outpatient Mental Kim Selby, Assistant Director",Health Center (Abingdon),"1301 Continental Drive, Suite 103",Abingdon,MD,21009,US
49,137791,"Carter Memorial Church Of God In ChristLillie Pearson, Coordinator                  ",745 West Fayette Street,,Baltimore,MD,21201-1111,US
50,138931,"Gift Of Hope Missionaries Of Charity Sister Mamoriama, Contact Person",818 North Collington Avenue,,Baltimore,MD,21205,US
51,138789,"Als Association, Dc-Md-Va, Chapter Colleen Maguire, Director Of Patient Services",7507 Standish Place,,Rockville,MD,20855,US
52,139019,"Coalition To End Childhood Lead PoisoningRuth Ann North, Executive Director           ",2714 Hudson Street,,Baltimore,MD,21224,US
53,138154,"Md. State Dept. Of Labor, Licensing & Reg. J. Ronald Dejuliis, Commissioner",Division Of Labor & Industry,1100 N. Eutaw Street-Room 606,Baltimore,MD,21201,US
54,139564,"Sickle Cell Disease Association Of America, Dr. Willarda V. Edwards, Director/Coo",231 E. Baltimore Street,Suite 800,Baltimore,MD,21202,US
55,138886,"Athelas Institute, Inc., Gwynn Oak Center Sharon Johnson, Director",1717 Gwynn Oak Avenue,,Baltimore,MD,21207,US
56,138338,"Salvation Army, Baltimore, Boys & Girls Club Wanda Newton, Executive Director",511 S. Crain Highway,,Glen Burnie,MD,21061,US
57,138005,"Hoover Services For Low Vision & Blindness Janet Sunness, M.D., Director",6569 N. Charles Street,Suite 305,Baltimore,MD,21204,US
58,138762,"Sudden Infant Death Syndrome Alliance (Sids) Deb Boyd, Executive Director",1314 Bedford Avenue,Suite 210,Baltimore,MD,21208,US
59,139783,"Greater Washington Urban League, Housing Divi Maudine Cooper","2901 14Th Street, Nw",,Washington,DC,20009,US
60,137705,"Baltimore Gas And Electric Company (Bge)Kenneth DeFontes, Jr., President/CEO         ",P.O. Box 1475,,Baltimore,MD,21203,US
61,137699,"Police Athletic League (Pal), Cockeysville Officer Eric Keen",9835 Greenside Drive,,Cockeysville,MD,21030,US
62,139238,"Ask:  Association For Special Kids Louis Savader, Certified Financial Planner",6002 Hunt Club Lane,,Baltimore,MD,21210,US
63,137721,"Bethel Outreach Center David Hanna, Executive Director",1429 Mcculloh Street,,Baltimore,MD,21217,US
64,137925,"Enon Baptist Church Deacon William Hardy, Coordinator",601 N. Schroeder Street,,Baltimore,MD,21217,US
65,139432,"All About You Health Care Service, Inc.Marie Johnson, Director                      ",3610 Milford Mill Road,Suite 2D,Randallstown,MD,21244,US
66,138056,"House Of Ruth Dorothy  Lennig, Legal Clinic Director",Domestic Violence Legal Clinic,2201 Argonne Drive,Baltimore,MD,21218-1627,US
67,139598,"Baltimore Interfaith Hospitality NetworkBruce Thompson, Executive Director           ",4213 Loch Raven Blvd.,,Baltimore,MD,21218-1409,US
68,138431,"Cottage Avenue Community Transitional Housing Clinton Jiggetts, Program Director","2601 Ulman Avenue, Rear",,Baltimore,MD,21215,US
69,137690,"Positive Voices Pat Brownlee, Project Director",Baltimore City Public Schools,200 E. North Avenue,Baltimore,MD,21202,US
70,138334,"Ronald Mcdonald House Charities Of Balto. Inc Mariane Rowan Braun, Executive Director",635 W. Lexington Street,,Baltimore,MD,21201-1571,US
71,138493,"Geriatric Psychiatry Mary Tlavek-Wolfson, Service Line Coordinator",701 W. Pratt Street,,Baltimore,MD,21201,US
72,139127,"Meals On Wheels, Central Maryland, Inc.A. Thomas Grazio, Executive Director         ",515 South Haven Street,,Baltimore,MD,21224,US
73,138780,"Nehemiah House, Inc. Brain Smith, Program Director",8720 Philadelphia Road,,Baltimore,MD,21237,US
74,139131,"Baltimore City Needle Exchange Program Derrick Hunt, Director",2101 Garrison Blvd.,,Baltimore,MD,21216,US
75,138366,"Shiloh Christian Community ChurchTheodore Price, Coordinator                  ",2500 West Lombard Street,,Baltimore,MD,21223,US
76,139824,"Towson United Methodist ChurchRev. Dr. David S. Cooney, Pastor             ",501 Hampton Lane,,Towson,MD,21286,US
77,138018,"Harbel Community Organization, Inc.Naomi Benyowitz, Administrative Director     ",5807 Harford Road,,Baltimore,MD,21214-1895,US
78,139037,"Community Health Awareness And Ina Glenn-Smith, Assistant Program Director",Monitoring Program (Champ),"2901 Druid Park Drive, Suite A204",Baltimore,MD,21215,US
79,137696,"Baltimore County Dss, Volunteer Office Deborah Ward, Director",6401 York Road,,Baltimore,MD,21212,US
80,138174,"Maryland Office Of People's Counsel Paula M. Carmody, Director",6 Saint Paul Street,Suite 2102,Baltimore,MD,21202-1608,US
81,137793,"Child Safe Program Allison West,  Program Manager",St. Vincent's Center,2600 Pot Spring Road,Timonium,MD,21093,US
82,139143,"Knox Presbyterian Church Beverly Pinn, Clerk Of Session",1300 North Eden Street,,Baltimore,MD,21213,US
83,137696,"Baltimore County Dss, Foster Care/Adoptions Judith Schagrin, Assistant Director",Children & Licensing,6401 York Road,Baltimore,MD,21212,US
84,139683,"Second Chance Services Unlimited, Inc Mamie Bynum",10001 Derekwood Lane,Suite 200,Lanham,MD,20716,US
85,137894,"Disabled American Veterans Filippi Micocci, Supervisor",31 Hopkins Plaza,Suite 1229,Baltimore,MD,21201-2825,US
86,137693,"Baltimore County Information Gary Schauber, Supervisor",4423 Bucks Schoolhouse Road,,Baltimore,MD,21237,US
87,138761,"Planned Parenthood Of Maryland, Inc.John Nugent, President/CEO                   ",330 N. Howard Street,,Baltimore,MD,21201,US
88,137628,"American Civil Liberties Union Of Maryland Susan Goering, Executive Director",3600 Clipper Mill Road,Suite 350,Baltimore,MD,21211,US
89,137824,"Charlotte Hall Veterans Home Steven Wynn,  Administrator",29449 Charlotte Hall Road,,Charlotte Hall,MD,20622,US
90,138143,"Maryland Nonprofits, Main Office (Baltimore) Peter Berns, Executive Director",190 West Ostend Street,Suite 201,Baltimore,MD,21230,US
91,137689,"Baltimore City Police Department Dean Palmere, District Commander",Central District,C/O 242 West 29Th Street,Baltimore,MD,21211-2908,US
92,137686,"Baltimore City Dss, Eviction Prevention Progr",501 E. Fayette Street,Room 207,Baltimore,MD,21202,US
93,138178,"Baltimore Va Vet Center Joanne Johnson, Team Leader",1777 Reisterstown Road,Suite 199,Baltimore,MD,21208,US
94,139131,"Baltimore Healthcare Access, Inc. Kathleen Westcoat, Mph, President",201 E. Baltimore Street,Suite 950,Baltimore,MD,21202,US
95,138704,"U.S. Food And Drug Admin., Baltimore Office Evelyn Bonnin, District Director",6000 Metro Drive,Suite 101,Baltimore,MD,21215,US
96,137744,"Bread Of Life MinistryJessie Hall, Coordinator                     ",1501 Mcculloh Street,,Baltimore,MD,21217,US
97,138550,"Baltimore City Health Dept., Wic Joanne Smith, Director",1200 Mondawmin Concourse,"Mondawmin Mall, Room 1128",Baltimore,MD,21215,US
98,138626,"Charles County Board Of County Commissioners Wayne Cooper, President",P.O. Box 2150,,La Plata,MD,20646,US
99,138250,"On Our Own, St. Mary's County Carolyn Cullison Executive Director",P.O. Box 1245,,Leonardtown,MD,20650,US
100,138695,"Arthritis Foundation, Md Jan Thompson, President",9505 Reisterstown Road,Suite 1 North,Owings Mills,MD,221117,US
101,137878,"Casa (Court Appointed Special Advocate Prgm.) Susan Burger, Director",P.O. Box 13004,,Baltimore,MD,21203,US
102,137894,"Disabled American VeteransFilippi Micocci, Supervisor                  ",31 Hopkins Plaza,Suite 1229,Baltimore,MD,21201-2825,US
103,138381,"Family Health Centers Of Baltimore, Calvert S Michele Emery, Practice Manager",315 North Calvert,,Baltimore,MD,21202,US
104,139189,"New Fayette House, Inc.Barbara Chavis, Director                     ",13-19 South Fulton Avenue,,Baltimore,MD,21223,US
105,138152,"Walter P. Carter, Carruthers Clinic Barbara Sadauski Clinic Coordinator",611 S. Charles St.,4Th Floor,Baltimore,MD,21230,US
106,138132,"Lutheran Mission Society Of Maryland Beth Garci, Coordinator",531 Legion Drive,,Havre De Grace,MD,21078,US
107,138939,"Happy Helpers For The Homeless Amber Coffman, Director",403 A Old Stage Road,,Glen Burnie,MD,21061,US
108,137809,"Neighborhood Housing Services Of Balto. Felix Torres, Executive Director",300 Lennox Avenue,,Towson,MD,21286,US
109,137683,"Eastern Community Action Center Desiree Mack, Human Services Manager",1400 Orleans Street,(Dunbar High School),Baltimore,MD,21231,US
110,137683,"Southeast Community Action Center Diann Baker, Director",3411 Bank Street,,Baltimore,MD,21224,US
111,139173,"People On The Move Kenneth Schmansky, Transportation Manager",,P.O. Box 2298,Baltimore,MD,21203,US
112,137935,"Family & Children's Services, Domestic Violen Patricia Thompson Lcsw-C,  District Director",7000 Security Blvd,Suite 302,Gwynn Oak,MD,21244,US
113,137713,Board Of Child CareThomas L. Curcio President/CEO               ,3300 Gaither Road,,Baltimore,MD,21244,US
114,138588,"Baltimore Behavioral Health, Inc. William K. Hathaway,",200 S. Arlington Ave.,,Baltimore,MD,21223,US
115,139074,"Garden HarvestJames Dasher, Executive Director             ",14045 Mantua Mill Road,,Reisterstown,MD,21136,US
116,139411,"Security Unlimited Personal Companion Avrahom Sauer, President",3106 Pinkney Road,,Baltimore,MD,21215,US
117,137939,"Family Crisis Resource Center, Inc. (Fcrc) Lynnette Irlmeier. Executive Director",146 Bedford Street (Do Not Give Out),,Cumberland,MD,21502,US
118,137736,"Bon Secours Hospital Pauline Harris, Exec Asst. To The Ceo",2000 West Baltimore Street,,Baltimore,MD,21223,US
119,137793,"My Sister's Place Lodge, Catholic Charities Andrea Medina, Clinical Director",111 W. Mulberry Street,,Baltimore,MD,21201,US
120,139131,"Baltimore City Health DepartmentJoshua Sharfstein, Commissioner              ",210 Guilford Avenue,3Rd Floor,Baltimore,MD,21202,US
121,137697,"Baltimore County Health Dept. Lee P. Ohnmacht, Mst Coordinator",Bureau Of Mental Health,"6401 York Road, 3Rd. Floor",Baltimore,MD,21212,US
122,139131,"Baltimore City Health Dept., Sharon Rumber, Director",Maternal & Infant Nursing Program,620 North Caroline Street,Baltimore,MD,21205,US
123,138765,"Carroll Lutheran Village Greg Lannon, Executive Director",300 St. Luke Circle,,Westminster,MD,21158,US
124,137593,Cdc National Prevention Information Network,P.O. Box 6003,,Rockville,MD,20849-6003,US
125,139453,GildPresident                                    ,,Po Box 322,Brooklandville,MD,21022-9998,US
126,137696,"Baltimore County Dss, Project Home Debbie Veystrk, Supervisor",6401 York Road,,Baltimore,MD,21212,US
127,138404,"St. Joseph Medical Center Bernadette White, Director Of Community Outre",Community Health Services,7601 Osler Drive,Towson,MD,21204,US
128,138261,"Park West Health System, Hidden Garden Prog. Cleo L. Edmonds, Program Director",4120 Patterson Avenue,,Baltimore,MD,21215,US
129,138491,"University Of Baltimore School Of LawPhillip J. Closius, Dean                     ",1415 Maryland Avenue,,Baltimore,MD,21201,US
130,139280,"Mayor's Office Of Hispanic AffairsChristopher Kelly, Hispanic Liaison          ",3411 Bank Street,,Baltimore,MD,21224,US
131,139274,"America Work Of Maryland Stephen Muirhead, General Manager",22 Light Street,,Baltimore,MD,21202,US
132,139597,"Prisoners' Rights Information System Of Md David Wright, Executive Director",100 Church Alley,,Chestertown,MD,21620,US
133,138887,"Casey Family ServicesEdward C. Rennells, Interim Division Director",25 N. Caroline Street,,Baltimore,MD,21231,US
134,137858,Community Assistance Network Community Resource Specialist,Hillendale Gate,6600 Wycombe Way,Baltimore,MD,21234,US
135,138019,"Harford Belair Haven Stephen Riegger, Program Director",4536 Harford Road,,Baltimore,MD,21214,US
136,139829,Town Of University Park Amy Headley,6724 Baltimore Avenue,,University Park,MD,20782,US
137,137621,"Alliance, IncTom Sizemore, CFO/CAO                        ",7701 Wise Avenue,Suite 206,Baltimore,MD,21222-3228,US
138,137694,Senior Health Insurance Assistance Program (S Pat Venable,611 Central Avenue,,Towson,MD,21204,US
139,138700,"Baltimore Area Convention And Visitors Assoc.Ronnie Burt, Interim                         ",100 Light Street,12Th Floor,Baltimore,MD,21202,US
140,138239,"Baltimore-Washington Medical Center James Walker, President/Ceo",301 Hospital Drive,,Glen Burnie,MD,21061,US
141,138117,"Johns Hopkins Tutorial Project Bill Tiefenwerth, Interim Director","Johns Hopkins University, 2Nd Floor","Levering Hall, 3400 N. Charles St.",Baltimore,MD,21218,US
142,138171,"Office Of Child Care, Baltimore County Rosemarie Hayes, Regional Manager",409 Washington Avenue,Suite Ll8,Towson,MD,21204,US
143,138218,"Faith, Hope And Charity Co-Op Sharon Miller, Coordinator",12728 Manor Road,Mt. Zion A.M.E. Church Hall,Glen Arm,MD,21057,US
144,137949,"First Baptist Church Of Essex PantryBill Ledford, Coordinator                    ",911 Mace Avenue,,Baltimore,MD,21221,US
145,137955,"Forward Visions, Inc. Paula Setters, Executive Director",2035 York Road,,Lutherville,MD,21093-4229,US
146,137717,"Bea Gaddy Family Center Connie Bass, Executive Director",P.O. Box 38501,,Baltimore,MD,21231-1635,US
147,138645,"South Baltimore Learning CorporationSonia Socha, Executive Director              ",28 E. Ostend Street.,,Baltimore,MD,21230,US
148,138304,"Office Of The Public Defender, Baltimore City Elizabeth Julian, District Public Defender",201 St. Paul Place,,Baltimore,MD,21202,US
149,138215,"Mt. Vernon Place United Methodist ChurchCaroleann Meyers, Director                   ",10 E. Mt. Vernon Place,,Baltimore,MD,21202-2309,US
150,139296,"Progressive Life Center, Baltimore Lewis Smith, Program Manager",2641 Maryland Avenue,,Baltimore,MD,21218,US
151,138995,"Maryland Humanities Council (Mhc)Margaret R. Burke, Executive Director        ",108 West Centre Street,,Baltimore,MD,21201-1002,US
152,139346,"Community Conferencing Center Lauren Abramson, Ph.D., Director",2300 N. Charles Street,,Baltimore,MD,21218,US
153,137733,"Black Mental Health Alliance Education/ConsulTracee Bryant, Executive Director            ",733 W. 40Th Street,Suite 10,Baltimore,MD,21211,US
154,138402,"Loaves And Fishes, Mobile Unit Sue Cesare, Founder",740 N. Calvert Street,,Baltimore,MD,21202,US
155,137699,"Baltimore County Police DepartmentJames W. Johnson, Chief of Police            ",700 E. Joppa Road,,Towson,MD,21286,US
156,137676,"Arc Of Baltimore, TheStephen H. Morgan, Executive Director        ",7215 York Road,,Baltimore,MD,21212,US
157,138429,"St. Rita Catholic ChurchMary Kathryn Haines, Coordinator             ",2903 Dunlear Road,,Baltimore,MD,21222,US
158,138152,"Maryland Dept. Of Health And Mental Hygiene Dr. John M. Deboy, Director",Lab Administration,201 W. Preston Street,Baltimore,MD,21201,US
159,138182,"Workforce Reception Gerald B. Grimes, Program Manager",100 W. 23Rd. Street,,Baltimore,MD,21218,US
160,139238,"Ask:  Association For Special KidsMr. Louis Savader, Cert. Financial Planner   ",6002 Hunt Club Lane,,Baltimore,MD,21210,US
161,139557,"Dayspring Programs  IncPamela Talabis, Executive Director           ",1200 N Collington Avenue,,Baltimore,MD,21213,US
162,138775,"Jewish Community Services Barbara L. Gradet, Lcsw, Executive Director",5750 Park Heights Avenue,,Baltimore,MD,21215,US
163,138099,"Kennedy Krieger Learning Center Mary Rawlings, Administrative Coordinator",1750 E. Fairmount Avenue,,Baltimore,MD,21231,US
164,139107,International Dyslexia Association,Chester Building,"8600 Lasalle Road, Suite 382",Towson,MD,21286,US
165,137790,Carroll Area Transit System  (Cats),211 Greenwood Avenue,,Westminster,MD,21157,US
166,139711,"Baltimore County Office Of Wokforce Devel. Barry Williams, Director",105 Chesapeake Avenue,Suite 300,Towson,MD,21204,US
167,139040,"Eden Jobs Antoine Bennett, Executive Director",1300 Fulton Avenue,,Baltimore,MD,21217,US
168,137725,"Tabernacle Deliverance Community ChurchMartha Russ, Director                        ",1631 East Federal Street,,Baltimore,MD,21213,US
169,138889,"National Children's Center Phil Campbell, Ceo","6200 2Nd Street, Nw",,Washington,DC,20011,US
170,138335,"Step, Inc. (Schapiro Training And Employment) Patricia Dieter, Executive Director",1025 St. Paul Street,,Baltimore,MD,21202,US
171,138719,"Head Start Program, Day Spring Odette, Director",1200 N. Collington Avenue,,Baltimore,MD,21213,US
172,139384,"U.S. Department Of Homeland SecurityMichael Chertoff, Secretary                  ",,,Washington,DC,20528,US
173,137793,"Villa Maria Behavioral Health Clinic Angela Ferioli, Program Supervisor",St. Clements Church,2700 Washington  Avenue,Baltimore,MD,21227,US
174,138092,"Johns Hopkins University, School Of Medicine Dr. Richard Moore, Clinical Director",Aids Services,"600 N. Wolfe Street, Carnegie 3",Baltimore,MD,21287,US
175,138595,"Wage CommissionSheldon Shugarman, Acting Excutive Director  ",4 S. Frederick Street,Suite 100,Baltimore,MD,21202,US
176,137660,"Anne Arundel County Medical SocietyMary Morin, Executive Director               ",714 Baltimore & Annapolis Blvd.,,Severna Park,MD,21146,US
177,138741,"Maryland Psychological AssociationJudy DeVito, Executive Officer               ",10025 Governor Warfield Parkway,Suite 102,Columbia,MD,21044,US
178,138380,"South Baltimore Emergency Relief (Sober) Elizabeth A. Baer, Executive Director",110 E. West Street,,Baltimore,MD,21230-4314,US
179,137844,"City Temple Outreach Of Baltimore, The Gary Hamiel, Director Of Outreach",317 Dolphin Street,,Baltimore,MD,21217,US
180,139724,"U.S. Dept. Of Health & Human Services Kerry Weems, Acting Administrator",Center For Medicare & Medicaid Services (Cms),7500 Security Blvd,Baltimore,MD,21244-1850,US
181,137908,Dundalk Church Of The Brethren PantryMedie McLaughlin                             ,2660 Yorkway,,Baltimore,MD,21222-4432,US
182,138325,"St. Wenceslaus Catholic Church Audrey T. Wesson, Director",2100 E. Madison Street,,Baltimore,MD,21205,US
183,137891,"Dept Of Juvenile Services Area I Walter Jackson, Area Director",300 N Gay Street,,Baltimore,MD,21202,US
184,139445,"Md Dept. Of Public Safety & CorrectionGary D. Maynard, Secretary                   ",300 E. Joppa Road,Suite 100,Towson,MD,21286-3020,US
185,137920,"Edgemere Church Of God Food Pantry Ron Murray, Director",7414 Ellen Avenue,,Baltimore,MD,21219-2120,US
186,138604,"Twelve Step Recovery WorkshopDrew Leder, Contact Person                   ",P.O. Box 26145,,Baltimore,MD,21210,US
187,138353,"Second Shiloh Meal Kitchen Wanda Hudson, President",1355 Homestead Street,,Baltimore,MD,21218,US
188,139296,"Progressive Life CenterDr. Frederick Phillips, Director             ","1704 17Th Street, Ne",,Washington,DC,20002,US
189,139621,"Girls Inc. Of Washington County Maureen Grove, Executive Director",626 Washington Avenue,,Hagerstown,MD,21740,US
190,139800,First Candle Deborah Boyd,1314 Bedford Avenue,Suite 210,Baltimore,MD,21208,US
191,138038,"Health Care For The Homeless, Inc.Jeff Singer, President & CEO                 ",111 Park Avenue,,Baltimore,MD,21201,US
192,138468,"United Presbyterian Ministries, Inc.Heather Warren                               ",524 North Charles Street,,Baltimore,MD,21201,US
193,138192,"Metropolitan Umc OutreachMr. Pinkney Garner, Director                 ",1121 W. Lanvale Street,,Baltimore,MD,21217,US
194,139309,"Medbank Of Maryland, Inc. Robert Mcewan, Ceo",P.O. Box 42678,,Towson,MD,21284,US
195,139594,"East Harbor Community Development Corp.Tracy Keyser, Executive Director             ",120 South Central Ave.,,Baltimore,MD,21231,US
196,137696,"Baltimore County Dss, District Office Towson Daniel Allutey, District Manager",Drumcastle Center,6401 York Road,Baltimore,MD,21212,US
197,138237,"New Creation Christian Church Leslie Percell, Outreach Coordinator",Love Outreach Ministry,5401 Frankford Ave.,Baltimore,MD,21206-6139,US
198,138690,"Abilities NetworkLee Ann Kingham, Executive Director          ",8503 Lasalle Road,,Towson,MD,21286,US
199,139639,"Cherry Hill Homes Shirley Foulks/Phil Gray, President/Counselor",2700 Spellman Road,,Baltimore,MD,21225,US
200,139081,"Powell Recovery Center, Inc.Bill Scott, Executive Director               ",14 S. Broadway,,Baltimore,MD,21231,US
201,139406,"Catonsville Baptist Church Sharon Schmidt, Food Pantry Coordinator",1004 Frederick Road,,Catonsville,MD,21228,US
202,138338,"Salvation Army Baltimore, Adult Rehab Center Mr Edward Lejk, Program Director",2700 W. Patapsco Avenue,,Baltimore,MD,21230-2702,US
203,138550,"Prince George's County Health Dept., Wic Jane Ghaffore Rd., Iblcl Acting Program Chief",9314 Piscataway Road,,Clinton,MD,20735,US
204,138940,"Business Volunteer Unlimited MarylandKate Scherr, Director                        ",175 W. Ostend Street,Suite 100,Baltimore,MD,21230,US
205,137856,"Baltimore City Commission On Aging & Retire. Juliet Roberts, Director",Adult Day Care,1000 Cathedral Street,Baltimore,MD,21201,US
206,139202,"Maryland Hearing Aid ServiceJohn Fennema, Owner                          ",Mercy Hospital - Prof. Office Bldg.,"301 St. Paul Place, Suite 912",Baltimore,MD,21202,US
207,138780,"The Hiding Place Nina Parsons, Program Director",1732 Dunwoody Road,,Towson,MD,21234,US
208,139347,"Moriah HouseBarbara Holmes, Director                     ",2121 W. Baltimore Street,,Baltimore,MD,21223,US
209,137709,"Baltimore Reads, Inc.Shirley Bigley-La Motte, CEO                 ",3 S. Frederick Street,Suite 801,Baltimore,MD,21202,US
210,138431,"St. Vincent De Paul Society Of Baltimore John J. Schiavone, Executive Director",320 Cathedral Street,,Baltimore,MD,21201,US
211,139558,"Home Equity Conversion Ann Bowie, Director",Reverse Mortgage Counseling Program,251 West Street,Annapolis,MD,21401,US
212,138047,Holy Rosary Church Pantry Father John Michalski,408 S. Chester Street,,Baltimore,MD,21231,US
213,138872,"Hadassah Aileen Bormel,  President",3723 Old Court Road,Suite 205,Pikesville,MD,21208,US
214,138796,"Mission Of Mercy Linda Ryan, Executive Director",22 South Market St.,,Frederick,MD,21701,US
215,138804,"Avp Marketing & Community Relations Jean F. Bunker,",Harbor Hospital Life Resource Center,2990 S. Hanover Street,Baltimore,MD,21225,US
216,137793,"Christopher Place Employment Academy Carl Howell, Program Manager",725 Fallsway,,Baltimore,MD,21202,US
