current_parent_categories,name,id,location_name,new_category,new_subcategory,clear_categories
Care,"Baltimore City DSS, Recruitment Foster Care & Adoption Families",141311,"Baltimore City DSS, Family Preservation Services",Mental Health,,
Care,Individual Counseling,144158,"Bon Secours, New Hope Treatment Center",Mental Health,,
Care,Gender-specific Group Counseling,144160,"Bon Secours, New Hope Treatment Center",Mental Health,,
Care,Individual Counseling,144170,"Bon Secours, Adapt Cares",Mental Health,,
Care,Standard Group Counseling,144171,"Bon Secours, Adapt Cares",Mental Health,,
Care,Gender-Specific group counseling,144172,"Bon Secours, Adapt Cares",Mental Health,,
Care,Family Education & Counseling,144178,"Bon Secours, Adapt Cares",Mental Health,,
Care,DUI/DWI Program,144184,"B.N.J. Health Services, LLC",Mental Health,,
Care,Referral Assistance,144570,Alpha Pregnancy Center,Mental Health,,
Care,Humane Society of Baltimore County,142829,Humane Society of Baltimore County,Mental Health,,
Care,Aftercare,142299,"Mountain Manor Treatment Center, Highlandtown",Mental Health,,
Care,Support Groups,144276,"Native American Lifelines, Inc.",Mental Health,,
Care,Behavioral Health/Substance Abuse Counseling,144266,"Native American Lifelines, Inc.",Mental Health,,
Care,Post-Adoption Search and Reunion Services,144573,Board of Child Care,Mental Health,,
Care,Mental Health Groups,144291,New Vision House of Hope,Mental Health,,
Care,Individual Outpatient Counseling,144297,Northern Parkway Treatment Services,Mental Health,,
Care,Peer Support,144306,"Organization of Hope, Inc.",Mental Health,,
Care,Mental Health & Counseling,144319,Port Recovery,Mental Health,,
Care,Group Support Activities,144336,"Health Care for the Homeless, Inc., Baltimore City",Mental Health,,
Care,Referral Services,144503,40 West Assistance and Referral Center,Mental Health,,
Care,Sister Circle,144633,Baltimore Healthy Start Inc,Mental Health,,
"Disability, Age Group, Health, Health Specialties",Outpatient Mental Health,142752,"Affiliated Sante Group, Montgomery County",Mental Health,,
"Food, Housing, Health, Education, Work, Age Group, Armed Forces, Criminal History, Disability, Gender & Sexuality, Health Specialties, Languages, Race/Ethnicity",Occupational Therapy,144247,"Mosaic Community Services, Baltimore City",Mental Health,,
"Food, Housing, Health, Work, Age Group, Citizenship, Criminal History, Disability, Employment, Gender & Sexuality, Income, Insurance Accepted, Race/Ethnicity, Documents Needed, Languages",Psychiatric Rehabilitation Program (PRP),144246,"Mosaic Community Services, Baltimore City",Mental Health,,
"Transit, Health, Age Group",Mental Health Services,144729,Thrive Behavioral Health,Mental Health,,
,Family Services and Mental Health Services (Servicios Familiares y de Salud Mental),145116,Our Daily Bread Employment Center (se habla espaÃ±ol),Mental Health,,
,Mental Health,144341,"Healthy Lives, LLC",Mental Health,,
Citizenship,Mental Health Care (Atención de Salud Mental),144686,Asylee Women Enterprise (GENERAL-- Se Habla Español),Mental Health,Counseling Services ,
"Emergency, Health",Free Mental Health Services,144905,The Boris Lawrence Henson Foundation,Mental Health,Counseling Services ,
"Emergency, Health, Health Specialties, Special Hours, Substance Use Treatment Preferences","Crisis, Information and Referral Hotline",144922,"Baltimore Crisis Response, Inc.",Mental Health,Crisis,
"Health, Age Group",NAMI Connection Metropolitan Baltimore Virtual Health Events,145018,National Alliance on Mental Illness,Mental Health,Crisis,
"Health, Age Group",Connect With a Therapist,145102,Black Mental Health Alliance,Mental Health,Counseling Services ,
"Health, Insurance Accepted, Substance Use Treatment Preferences",Mental Health Services,144081,"A Step Forward, Inc.",Mental Health,Counseling Services ,
Health,PSYCHIATRIC REHABILITATION SERVICES,144072,"All Walks of Life, LLC",Mental Health ,,
"Disability, Health, Age Group, Health Specialties, Race/Ethnicity, Substance Use Treatment Preferences",Sheppard Pratt at Howard County,142309,Way Station at Howard County,Mental Health ,,
,,,,,,
Age Group,Community Engagement,144741,Baltimore Harm Reduction Coalition,,,clear 
Age Group,Stop Abuse of Elders,145020,"Counseling, Helpline, & Aid Network for Abused",,,clear
Age Group,Medical Examinations,144924,Baltimore Child Abuse Center,Safety,Children,
Age Group,"Retired and Senior Volunteer Program, Baltimore City",142675,"Retired and Senior Volunteer Program, Baltimore City",,,clear
"Age Group, Family Friendly",Leaping for Literacy,144635,Baltimore Healthy Start Inc,Child-Related,Head Start,
"Age Group, Health Specialties",Adult Home Care Services,144628,"American Caregivers, Inc.",Health,General Population,
"Care, Age Group, Health Specialties",Montgomery County Senior Mental Health Services,142006,Senior Nutrition Program,,,clear
"Care, Age Group, Health Specialties",Care Consultation,144585,Alzheimer's Association: Greater Maryland Chapter,Social Support,Older Adults,
"Care, Age Group, Health Specialties",24/7 Hotline,144623,"American Cancer Society, Baltimore",,,clear
"Care, Education, Age Group, Health Specialties",Caregiver Education,144584,Alzheimer's Association: Greater Maryland Chapter,Social Support,Older Adults,
"Care, Education, Race/Ethnicity",Mentoring and Tutoring Program,144731,Centro SOL,Education,ESL Classes,
"Care, Education, Work, Education, Employment, Gender & Sexuality",Career Skills Training,142209,Caroline Center,Employment,Job Training,
"Care, Survivors",Services for Victims of Human Trafficking (Servicios para víctimas de tráfico humano),145207,Esperanza Center (Se habla Español),Safety,Adults,
Citizenship,Food Delivery (Entrega de Comida),145062,Asylee Women Enterprise (GENERAL-- Se Habla Español),Legal,Immigration,
Citizenship,Case Management (Manejo de Casos),145064,Asylee Women Enterprise (GENERAL-- Se Habla Español),,,CLEAR
Citizenship,Medical Care (Atención Médica),145065,Asylee Women Enterprise (GENERAL-- Se Habla Español),Health,Access to Care (Insurance/ Prescription Assistance),
Citizenship,Immigration Legal Services (Servicios Legales de Inmigración),145063,Asylee Women Enterprise (GENERAL-- Se Habla Español),Legal,Immigration,
Citizenship,Housing (Vivienda),144684,Asylee Women Enterprise (GENERAL-- Se Habla Español),Housing,Transitional Housing,
Citizenship,Community Day Program (Programa Diario Comunitario),144685,Asylee Women Enterprise (GENERAL-- Se Habla Español),Employment,Job Training,
Documents Needed,Health Insurance,145028,Maryland Health Connection,,,clear
"Education, Age Group",Skills training,144705,"Arundel House of Hope, Community Recovery Center",,,Clear 
"Education, Age Group",GED Classes,144638,Baltimore Healthy Start Inc,Education,GED,
"Education, Age Group, Disability, Family Friendly","Head Start Program, Day Spring",143521,Dayspring Village,Child-Related,Head Start,
"Education, Disability, Family Friendly","Head Start Program, Herring Run",143809,"Head Start Program, Herring Run",Child-Related,Head Start,
"Education, Race/Ethnicity",Research Services,144739,Centro SOL,,,clear
"Education, Work, Age Group",Baltimore City Community College,143003,Baltimore City Community College,,,clear
Emergency,National Sexual Assault Hotline (Línea nacional de agresión sexual),144945,Maryland Coalition Against Sexual Assault (SEGURIDAD - Se habla español),Safety,Adults,
Emergency,National Domestic Violence Hotline (Línea nacional de violencia doméstica),144953,Maryland Coalition Against Sexual Assault (SEGURIDAD - Se habla español),Safety,Adults,
Emergency,Internet access,144886,ELECTRIC & GAS ENERGY ASSISTANCE,Utilities,Utility Assistance,
Emergency,Low Income Water Assistance Program,144913,WATER DISCOUNT INFORMATION,Utilities,Utility Assistance,
"Emergency, Age Group",SNAP/ Food stamps legal help hotline (Comida),145127,Homeless Persons Representation Project (ALOJAMIENTO-- Se Habla Español),Legal,Rights,
"Emergency, Age Group",Virtual Chatline,145086,House of Ruth,,,clear
"Emergency, Age Group, Gender & Sexuality, Family Friendly, Housing",Shelter,145324,Sarah's Hope House,Housing,Transitional Housing,
"Emergency, Care, Age Group",Support Services,144990,Caregiver Service Corps,,,clear
"Emergency, Education, Work",Free Xfinity WiFi hotspot (WiFi GRATIS),144850,Free Xfinity Wifi (for non-subscribers) (Se Habla Español),Utilities,Utility Assistance,
"Emergency, Education, Work",Free Internet Service (Servicio de Internet GRATIS),144915,Free Xfinity Wifi (for non-subscribers) (Se Habla Español),Utilities,Utility Assistance,
"Emergency, Education, Work",Internet for University Students (Internet para Estudiantes de Universidad),144916,Free Xfinity Wifi (for non-subscribers) (Se Habla Español),Utilities,Utility Assistance,
"Emergency, Food",Home Delivered Grocery Boxes (Entrega a Domicilio de Cajas de Alimentos),144944,Home Delivered Grocery Boxes (Entrega a Domicilio de Cajas de Alimentos),Food,Food Delivery,
"Emergency, Food",Lunch Service (Servicio de almuerzo),144864,Beans and Bread Homeless Day Resource Center (Centro de recursos para personas sin hogar Beans and Bread),Food,Prepared Meals,
"Emergency, Food",Food Pantry,144839,New Shiloh Baptist Church Pantry,Food,Food Pantry ,
"Emergency, Food",Hot Meal Program (Progama de Comidas Calientes),144860,Our Daily Bread Employment Center (se habla español),Food,Prepared Meals,
"Emergency, Food",Food Map,144928,The Maryland Food Bank,,,clear
"Emergency, Food",Food Stamp (SNAP) Support,144939,The Maryland Food Bank,Food,SNAP/Food Stamps,
"Emergency, Food",Meal Delivery,144927,Maryland Access Point,Food,Food Delivery,
"Emergency, Food",Grocery Delivery (Entrega de Comestibles),144940,Meals on Wheels (Se Habla Español),Food,Food Delivery,
"Emergency, Food",Resource Map (Mapa de Recursos),145141,"The Rebuild, Overcome and Rise Center (SEGURIDAD)",,,clear
"Emergency, Food",Free grocery distribution/ Food pantry,145325,Parts of Peace,Food,Food Pantry ,
"Emergency, Food",Food and Clothing (Ropa y Comida),144998,Sacred Heart of Jesus (Se habla Español),Food,Food Pantry ,
"Emergency, Food, Age Group",The Emergency Food Assistance Program (Programa de Ayuda Alimentaria de Emergencia),145006,Maryland Emergency Food Assistance Program (Programa de Asistencia Alimentaria de Emergencia de Maryland),Food,Food Pantry ,
"Emergency, Food, Goods, Care, Age Group",Food and resource delivery,144931,COVID-19 FOOD -- Corona Community,,,clear
"Emergency, Food, Health",Benefit Counseling (Asesoramientos de Beneficios),144861,Our Daily Bread Employment Center (se habla español),Food,SNAP/Food Stamps,
"Emergency, Food, Health, Education, Languages",Information (Información),144856,Centro SOL (Se Habla Español),,,clear
"Emergency, Food, Health, Money, Work, Legal",CASA General Hotline,144947,CASA,,,clear
"Emergency, Food, Housing, Transit, Care, Housing, Income",Ancillary Services,144921,Powell Recovery Center,,,clear
"Emergency, Food, Housing, Transit, Health, Money, Work",Health Insurance and Care Coordination to Social Services,144859,HealthCare Access Maryland,,,clear
"Emergency, Goods",Hand Sanitizer and Masks,144996,Highlandtown Business Association,Goods,Hygiene Items,
"Emergency, Goods, Work",Jobs (Trabajos),144834,CityWide Youth Development,Employment,Job Training,
"Emergency, Health",COVID-19 Testing,145332,University of Maryland Medical Center- Downtown Campus,Health,"Testing Sites, Quarantine Instructions, Etc.",
"Emergency, Health",Telehealth Services,145026,Healthcare for the Homeless,Health,Access to Care (Insurance/ Prescription Assistance),
"Emergency, Health",Telehealth Services,145307,"Health Care for the Homeless, Inc, West Baltimore",Health,Access to Care (Insurance/ Prescription Assistance),
"Emergency, Health",COVID- 19 Testing,145330,Baltimore Convention Center,Health,"Testing Sites, Quarantine Instructions, Etc.",
"Emergency, Health",COVID-19 Testing,145331,Mercy Health Services,Health,"Testing Sites, Quarantine Instructions, Etc.",
"Emergency, Health",COVID-19 Testing,145333,Johns Hopkins Medicine,Health,"Testing Sites, Quarantine Instructions, Etc.",
"Emergency, Health",Telehealth Services,145305,"Health Care for the Homeless, Inc., Baltimore City",,,clear
"Emergency, Health",Telehealth Services,145306,"Health Care for the Homeless, Inc., Baltimore County",,,clear
"Emergency, Health, Age Group, Health Specialties, Substance Use Treatment Preferences","Walter P. Carter, Fayette Street Clinic",140881,"University of Maryland, Center for Infants & Child Loss",Health,General Population,
"Emergency, Health, Care",Delivery Service,144898,SPARC Center,Substance Use,Harm Reduction Treatment,
"Emergency, Health, Care, Citizenship, Income, Insurance Accepted, Languages, Race/Ethnicity",Multilingual Coronavirus Hotline ( Línea Directa Multilingüe de Coronavirus),144896,Esperanza Center (Se habla Español),Health,General Population,
"Emergency, Health, Gender & Sexuality, Health Specialties",Mobile STI Testing,145312,SPARC Center,Health,Sexual/Family Planning,
"Emergency, Health, Gender & Sexuality, Survivors",Sexual Assault Legal Institute (Instituto Legal de Agresión Sexual),144847,Maryland Coalition Against Sexual Assault (SEGURIDAD - Se habla español),Legal,Reduced-Fee Services/ Legal Aid,
"Emergency, Health, Health Specialties, Substance Use Treatment Preferences",Dual Diagnosis Treatment,144920,Powell Recovery Center,Substance Use,Treatment Centers,
"Emergency, Health, Legal, Gender & Sexuality, Survivors",Intimate Partner Violence Services,144848,COVID-19 SAFETY -- Mercy Medical Center,Safety,Adults,
"Emergency, Health, Money","Baltimore City DSS, Emergency Assistance to Families w/Children",143524,"Baltimore City DSS, Child Care Program",Safety,Children,
"Emergency, Housing",Karis Home,140319,Karis Home for Women and Children,Housing,Transitional Housing,
"Emergency, Housing",Phone Intake Assistance (Ayuda Telefónica),144930,Homeless Persons Representation Project (ALOJAMIENTO-- Se Habla Español),Legal,Eviction,
"Emergency, Housing",Eviction Support,145162,Franciscan Center,Legal,Eviction,
"Emergency, Housing, Age Group, Gender & Sexuality, Housing",Emergency Shelter,145328,Pinderhughes Shelter,Housing,Transitional Housing,
"Emergency, Housing, Age Group, Housing",Overnight Guest Services,145334,Helping Up Mission,Housing,Transitional Housing,
"Emergency, Housing, Health, Care, Health Specialties, Substance Use Treatment Preferences",Outpatient & Residential Services,144853,Powell Recovery Center,Substance Use,Treatment Centers,
"Emergency, Housing, Transit, Health, Money, Care, Education, Work, Legal, Citizenship, Income, Insurance Accepted, Languages, Race/Ethnicity",Client Services (Servicios al Cliente),144895,Esperanza Center (Se habla Español),Health,General Population,
"Emergency, Housing, Work, Legal, Citizenship, Housing, Languages, Race/Ethnicity",Legal Services (Servicios Legales de Inmigración),144892,Esperanza Center (Se habla Español),Legal,Immigration,
"Emergency, Languages",Adelante Familia,145205,House of Ruth,Safety,Adults,
"Emergency, Legal, Gender & Sexuality, Survivors",Legal services (Servicios legales),144849,"The Rebuild, Overcome and Rise Center (SEGURIDAD)",Legal,Reduced-Fee Services/ Legal Aid,
"Emergency, Money",The Self Sufficiency Grant,145235,Modest Needs,Money,Emergency Cash/Grants,
"Emergency, Money",The Homecoming Heroes Grant,145236,Modest Needs,Money,Emergency Cash/Grants,
"Emergency, Money",One Fair Emergency Fund,145237,One Fair Emergency Fund,Money,Emergency Cash/Grants,
"Emergency, Money, Languages",Community Resources (Recursos de la Comunidad),145140,Maryland Coalition Against Sexual Assault (SEGURIDAD - Se habla español),Safety,Adults,
"Emergency, Substance Use Treatment Preferences","Baltimore City DSS, Adult Protective Services",141278,"Baltimore City DSS, Adult Protective Services",Safety,Children,
"Emergency, Survivors",Supervised child access services (Servicios supervisados ​​de acceso infantil),144846,The Baltimore City Visitation Center (SEGURIDAD-- Se Habla Español),Safety,Children,
"Emergency, Transit",Transit Service,144889,MTA MobilityLink (Paratransit) Program,Transportation,Reduced Cost/ Free Transportation,
"Emergency, Work",Job Training (STRIVE),144858,Center for Urban Families,Employment,Job Training,
"Food, Age Group",Free Food (Comida gratis),144810,Dovecote Cafe (COMIDA),Food,Prepared Meals,
"Food, Age Group",Food Pantry,145119,The Compassion Center,Food,Food Pantry ,
"Food, Age Group",Prepared Meals,145125,JOY Baltimore,Food,Prepared Meals,
"Food, Age Group",Breakfast (Desayuno),145126,Manna House,Food,Prepared Meals,
"Food, Age Group",Food Pantry,144807,Bridgeway Community Cupboard,Food,Food Pantry ,
"Food, Age Group",Food Pantry,144808,Reistertown UMC Food Pantry,Food,Food Pantry ,
"Food, Age Group",Free Food,144812,Land of Kush,Food,Food Pantry ,
"Food, Age Group",Free Food,144811,COVID-19 FOOD -- Baltimore City Food Map,Food,Food Pantry ,
"Food, Age Group",Hot Meals Program,144734,Our Daily Bread,Food,Prepared Meals,
"Food, Age Group",Free Meals,145009,COVID-19 FOOD -- Highlandtown Elementary/Middle,Food,Prepared Meals,
"Food, Age Group",Free Meals,145013,COVID-19 FOOD -- Liberty Elementary School,Food,Prepared Meals,
"Food, Age Group",Free Meals,144878,COVID-19 FOOD -- Harford Heights Elementary,Food,Prepared Meals,
"Food, Age Group",Free Meals,144874,COVID-19 FOOD -- Walter P. Carter Elementary/Middle,Food,Prepared Meals,
"Food, Age Group",Food Pantry,140361,Ark Church Food Pantry,Food,Food Pantry ,
"Food, Age Group",Free Meals,144875,COVID-19 FOOD -- Baltimore Montessori Public Charter,Food,Prepared Meals,
"Food, Age Group",Free Meals,144873,COVID-19 FOOD -- Fort Washington Elementary/Middle,Food,Prepared Meals,
"Food, Age Group",Free Meals,144872,COVID-19 FOOD -- Edgewood Elementary,Food,Prepared Meals,
"Food, Age Group",Free Meals,144871,COVID-19 FOOD -- Vanguard Collegiate Middle,Food,Prepared Meals,
"Food, Age Group",Free Meals,144879,COVID-19 FOOD -- Sarah M. Roach Elementary,Food,Prepared Meals,
"Food, Age Group",Free Meals,144877,COVID-19 FOOD -- Southwest Baltimore Charter,Food,Prepared Meals,
"Food, Age Group",Free Meals,144876,COVID-19 FOOD -- Henderson Hopkins,Food,Prepared Meals,
"Food, Age Group",Lunch + Snack,145077,City of Refuge,Food,Prepared Meals,
"Food, Age Group","KIDS ONLY Breakfast, Lunch, Dinner, and a Snack",145076,City of Refuge,Food,Prepared Meals,
"Food, Age Group",Baby Pantry,145073,City of Refuge,Food,Food Pantry ,
"Food, Age Group",Food Service ( Servicio de Comida),145068,Breath of God Lutheran Church (Se habla español),Food,Food Pantry ,
"Food, Age Group",Free Food,144813,Grace Baptist Church,Food,Food Pantry ,
"Food, Age Group",Food Pantry Pickup (despensa de alimentos),145089,Loch Raven United Methodist Church (Iglesia Metodista Unida Loch Raven),Food,Food Pantry ,
"Food, Age Group",Free Meals,145110,"COVID-19 FOOD - Langston Hughes Community, Business and Resource Center",Food,Prepared Meals,
"Food, Age Group",Food Pantry,144680,Armistead Gardens Elementary and Middle School,Food,Food Pantry ,
"Food, Age Group, Armed Forces, Housing",Drop in Facility,144717,Maryland Center for Veterans Education and Training,,,clear
"Food, Age Group, Disability",Grocery Delivery,145113,"COVID-19 FOOD - Langston Hughes Community, Business and Resource Center",Food,Food Delivery,
"Food, Age Group, Income",Food Pantry,144805,"Community Crisis Center, Inc.",Food,Food Pantry ,
"Food, Care, Education, Work",Waxter Center for Senior Citizens,141065,"Baltimore City Commission on Aging & Retire., Adult Day Care",,,clear
"Food, Care, Education, Work, Legal, Age Group","Baltimore City Commission on Aging & Retirement Education, CARE",140079,"Baltimore City Commission on Aging & Retire., Ombudsman Program",,,clear
"Food, Documents Needed",Tuesday and Wednesday food pantry - BY APPOINTMENT ONLY (Martes y Miercoles - Despensa de Alimentos - Con cita previa),145066,Bea Gaddy Family Center,Food,Food Pantry ,
"Food, Education, Age Group",Simple Cooking with Heart Kitchen,144666,Simple Cooking with Heart Kitchen,,,clear
"Food, Education, Age Group",Simple Cooking with Heart Kitchen,144667,American Heart Association,,,clear
"Food, Education, Work, Age Group, Substance Use Treatment Preferences","COIL: Communities Organized to Improve Life, Inc.",140080,"COIL: Communities Organized to Improve Life, Inc.",Substance Use,Treatment Centers,
"Food, Family Friendly",Food (Comida),144881,Centro SOL (Se Habla Español),Food,Food Pantry ,
"Food, Goods",Hot Meals and Other Essentials,145114,God is King Center,Food,Prepared Meals,
"Food, Goods",Mattie B. Uzzle Outreach Center,140968,Mattie B. Uzzle Outreach Center,,,clear
"Food, Goods",Community Pantry (Despensa Comunitaria),145078,Community Pantry at The Dog Chef Cafe (Despensa Comunitaria en The Dog Chef Cafe),Food,Food Pantry ,
"Food, Goods",Church of the Guardian Angel Pantry,140068,Church of the Guardian Angel Pantry,Food,Food Pantry ,
"Food, Goods",Lansdowne Church of God,141960,Lansdowne Church of God,Food,Food Pantry ,
"Food, Goods, Age Group",Food and Clothing Pantry,144543,Abbott Memorial Presbyterian Church,Food,Food Pantry ,
"Food, Goods, Age Group, Race/Ethnicity",Food Pantry and Clothing (Alimentos y ropa),139923,Assisi House,Food,Food Pantry ,
"Food, Goods, Health, Age Group, Health Specialties","Baltimore City Health Dept., WIC - Bon Secours Community Center",143792,"Baltimore City Health Dept., WIC - Bon Secours Community Center",Food,WIC,
"Food, Goods, Health, Age Group, Health Specialties","Baltimore City Health Dept., WIC - Harford Clinic",143791,"Retired and Senior Volunteer Program, Baltimore City",Food,WIC,
"Food, Goods, Health, Age Group, Health Specialties","Baltimore City Health Dept., WIC",142771,Dunbar Day Care Center,Food,WIC,
"Food, Goods, Health, Age Group, Health Specialties","Baltimore City Health Dept., WIC Express",143793,"Baltimore City Health Dept., WIC Express",Food,WIC,
"Food, Health",Meal Delivery (Entrega de Comida),144925,Meals on Wheels (Se Habla Español),Food,Food Delivery,
"Food, Health",Medical Nutrition Therapy (Terapia de nutrición médica),145168,Moveable Feast (Se Habla Español),Food,Food Delivery,
"Food, Housing",Room and Board (Alojamiento y Comida),145156,"Triage, Respite, and Isolation Center at The Lord Baltimore Hotel (Se Habla Español)",Substance Use,Harm Reduction Treatment,
"Food, Housing",Earl's Place Baltimore,144374,Earl's Place Transitional Housing,Housing,Transitional Housing,
"Food, Housing, Care, Age Group, Armed Forces, Disability, Gender & Sexuality",Emergency Shelter,144882,Weinberg Housing Resource Center,Housing,Transitional Housing,
"Food, Housing, Care, Family Friendly",Baltimore City Nurse Family Partnership,145329,Baltimore City Nurse Family Partnership,Health,General Population,
"Food, Housing, Health, Age Group, Housing",Beans and Bread,141495,Beans and Bread,Food,Food Pantry ,
Goods,Ruth's Closet,145231,House of Ruth,Goods,Clothing + Clothing for Jobs,
Goods,Surprise Shop,140640,Surprise Shop,,,clear
Goods,Monthly Clothing Closet,144567,The Pride Center of Maryland,Goods,Clothing + Clothing for Jobs,
"Goods, Age Group",Attire-4-Hire,144722,Franciscan Center,Goods,Clothing + Clothing for Jobs,
"Goods, Age Group",Clothing & Toiletries,144723,Franciscan Center,Goods,Clothing + Clothing for Jobs,
"Goods, Age Group",Free Hygiene Products,144917,Parts of Peace,Goods,Hygiene Items,
"Goods, Age Group",Thrift Store,144367,"Goodwill Industries of the Chesapeake, Inc.",Goods,Clothing + Clothing for Jobs,
"Goods, Health","Women, Infants & Children (Mujeres, Bebés y Niños)",144935,Baltimore City Health Department Maternal and Child Health Services (Se Habla Español),Goods,Baby Supplies,
"Health, Age Group",Free Medication Delivery,145014,CVS Pharmacy,Health,Access to Care (Insurance/ Prescription Assistance),
"Health, Age Group",Medical Services,144442,"Family Health Centers of Baltimore, Cherry Hill Center",Health,General Population,
"Health, Age Group",Intensive Outpatient Program (IOP),144287,New Vision House of Hope,Substance Use,Outpatient,
"Health, Age Group, Gender & Sexuality, Health Specialties, Housing, Documents Needed, Substance Use Treatment Preferences",Spritual Recovery Program,145335,Helping Up Mission,Substance Use,Treatment Centers,
"Health, Care, Health Specialties",Hotline,144586,Alzheimer's Association: Greater Maryland Chapter,,,clear
"Housing, Age Group",Housing,144071,Catholic Charities Basilica Place,Housing,Transitional Housing,
"Housing, Age Group",Emergency Shelter,144821,House of Ruth,Housing,Transitional Housing,
"Housing, Age Group",Low Income Senior Citizen Water Discount Program,144673,Southern Community Action Partnership Center,Utilities,Utility Assistance,
"Housing, Age Group",Low Income Water Assistance Program,144672,Southern Community Action Partnership Center,Utilities,Utility Assistance,
"Housing, Age Group",Office of Home Energy Programs,144674,Southern Community Action Partnership Center,Utilities,Utility Assistance,
"Housing, Age Group",Renters/Homeowners Tax Application Assistance,144675,Southern Community Action Partnership Center,Utilities,Utility Assistance,
"Housing, Age Group, Armed Forces",Transitional Housing,144716,Maryland Center for Veterans Education and Training,Housing,Transitional Housing,
"Housing, Age Group, Gender & Sexuality, Health Specialties, Housing",Transitional housing,145317,Earl's Place,Housing,Transitional Housing,
"Housing, Age Group, Gender & Sexuality, Housing",Supportive Housing,144421,Baltimore Outreach Services,Housing,Transitional Housing,
"Housing, Age Group, Health Specialties, Housing",Permanent Housing Program,144687,"At Jacob's Well, Inc.",,,clear
"Housing, Age Group, Housing",Day and Resource Center,144702,"Arundel House of Hope, Day and Resource Center",,,clear
"Housing, Age Group, Housing",Transitional Housing,143905,"Arundel House of Hope, The Fouse Center",,,clear
"Housing, Armed Forces, Criminal History, Housing",Subsidized permanent housing,144747,"Project PLASE, Inc.",Housing,Section 8 Or Public Housing Applications,
"Housing, Education",Rental assistance & Housing,145315,Un Nuevo Comienzo Program,Housing,Rental Assistance,
"Housing, Income, Documents Needed",Fuel Fund Assistance,144900,GEDCO CARES,Utilities,Utility Assistance,
"Housing, Legal, Age Group, Armed Forces, Criminal History, Housing, Income",Homeless Persons Representation Project,140265,Homeless Persons Representation Project,Legal,Reduced-Fee Services/ Legal Aid,
"Housing, Money",Eviction Prevention Program,145319,Eastern Community Action Partnership Center,Legal,Eviction,
"Housing, Money",Eviction Prevention Program,145320,Northwest Community Action Partnership Center,Legal,Eviction,
"Housing, Money",Eviction Prevention Program,145321,Southern Community Action Partnership Center,Legal,Eviction,
"Housing, Money",Eviction Prevention Program,145322,Northern Community Action Partnership Center,Legal,Eviction,
"Housing, Money",Eviction Prevention Program,145323,Southeast Community Action Partnership Center,Legal,Eviction,
Substance Use Treatment Preferences,Substance Use Disorder Treatment,144426,Johns Hopkins Center for Addiction and Pregnancy (CAP),Substance Use,Treatment Centers,
Substance Use Treatment Preferences,Pediatric Health Care,144429,Johns Hopkins Center for Addiction and Pregnancy (CAP),Substance Use,Treatment Centers,
Substance Use Treatment Preferences,Psychiatric Evaluation and Care,144427,Johns Hopkins Center for Addiction and Pregnancy (CAP),Substance Use,Treatment Centers,
Substance Use Treatment Preferences,Obstetric Evaluation and Care,144428,Johns Hopkins Center for Addiction and Pregnancy (CAP),Substance Use,Treatment Centers,
